# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
testimony ^nn++++=testimony.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
entered ^vbd+++xvbn+=entered
where ^wrb+who+++=where
a ^at++++=a
living ^jj+atrb++xvbg+=living
slave ^nn++++=slave
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
enter ^vb++++=enter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
forced ^vbd+++xvbn+=forced
the ^ati++++=the
palace ^nn++++=palace
to ^to++++=to
look ^vbi++++=look.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
become ^vb++++=become
such ^abl++++=such
testimony ^nn++++=testimony
but ^cc++++=but
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
joined ^j+++xvbn+=joined
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stronger ^jjr++++=stronger
than ^in++++=than
one ^cd1++++=one
man ^nn++++=man's
's ^$++++=EXTRAWORD
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
Alone ^rb+cnj+++=Alone,
, ^zz++++=EXTRAWORD
a ^at++++=a
hand ^nn++++=hand
is ^vbz+bez+aux++=is
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together,
, ^zz++++=EXTRAWORD
hands ^nns++++=hands
may ^md+pos+++=may
tear ^vb++++=tear
down ^rp++++=down
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
is ^vbz+bez+vrb++=is
low ^jj+pred+++=low
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
The ^ati++++=The
watch ^nn++++=watch
will ^md+prd+++=will
change ^vb++++=change
before ^in++++=before
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
in ^in++++=in
pairs ^nns++++=pairs
and ^cc++++=and
leave ^nn++++=leave
by ^in++++=by
different ^jj+atrb+++=different
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
children ^nns++++=children
who ^whp+rel+subj++=who
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
sleep ^vbi++++=sleep
repeat ^nn++++=repeat
tomorrow ^nr+tm+++=tomorrow
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
you ^pp2+pp2+++=you
speak ^vb++++=speak
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
call ^nn++++=call
him ^pp3o+pp3+++=him
servant ^nn+nom+++=servant.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
not ^xnot++not++=not
call ^nn++++=call
him ^pp3o+pp3+++=him
petitioner ^nn+nom+++=petitioner.
. ^zz++++=EXTRAWORD
Call ^nn++++=Call
him ^pp3o+pp3+++=him
comrade ^nn++++=comrade.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
's ^$++++=EXTRAWORD
Concluding ^jj+atrb++xvbg+=CONCLUDING
Note ^nn++++=NOTE
The ^ati++++=The
identity ^nn+nom+++=identity
of ^in++++=of
the ^ati++++=the
narrator ^nn++++=narrator
remains ^nns++++=remains
uncertain ^jj++++=uncertain.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
persons ^nns++++=persons
arrested ^vwbn+++xvbn+=arrested
under ^in++++=under
the ^ati++++=the
Education ^nn+nom+++=Education
Suppression ^nn++++=Suppression
Act ^nn++++=Act
of ^in++++=of
2204 ^cd++++=2204
claimed ^vbd+vpub++xvbn+=claimed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
" ^zz++++="the
the ^ati++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
Strawberry ^np+++??+=Strawberry
Petitioner ^np+nom++??+=Petitioner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
as ^in++++=as
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
solidarity ^nn+nom+++=solidarity
rather ^rb++++=rather
than ^in++++=than
literal ^jj+atrb+++=literal
descent ^nn++++=descent.
. ^zz++++=EXTRAWORD
A ^at++++=A
fourth ^rb+cnj+++=fourth,
, ^zz++++=EXTRAWORD
unnamed ^jj+atrb+++=unnamed
prisoner ^nn+nom+++=prisoner
executed ^vbd+++xvbn+=executed
at ^rb++++=at
Ironhaven ^np+++??+=Ironhaven
in ^in++++=in
2211 ^cd++++=2211,
, ^zz++++=EXTRAWORD
reportedly ^jj++++=reportedly
recited ^jj+++xvbn+=recited
the ^ati++++=the
phrase ^nn++++=phrase
" ^zz++++="Words
words ^nns++++=EXTRAWORD
remember ^nn+nom+++=remember;
; ^zz++++=EXTRAWORD
men ^nns++++=men
die ^vb++++=die;
; ^zz++++=EXTRAWORD
words ^nns++++=words
wait ^vb++++=wait"
" ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
before ^in++++=before
death ^nn++++=death.
. ^zz++++=EXTRAWORD
The ^ati++++=The
relief ^nn++++=relief
regulations ^nns+nom+++=regulations
at ^in++++=at
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
remained ^jj+++xvbn+=remained
in ^in++++=in
force ^nn++++=force
until ^in++++=until
2202 ^cd++++=2202,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Roger ^np++++=Roger
Vanderwater ^np+nom+++=Vanderwater's
's ^$++++=EXTRAWORD
successor ^nn++++=successor
transferred ^vwbn+++xvbn+=transferred
the ^ati++++=the
fund ^nn++++=fund
into ^in++++=into
the ^ati++++=the
general ^jj+atrb+++=general
factory ^nn++++=factory
account ^nn++++=account.
. ^zz++++=EXTRAWORD
Surviving ^vbg+++xvbg+=Surviving
ledgers ^nns+nom+++=ledgers
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
payments ^nns+nom+++=payments
to ^to++++=to
injured ^vbi++++=injured
workers ^nns+nom+++=workers
then ^rn+tm+++=then
declined ^vpsv++by+xvbn+=declined
by ^in++++=by
approximately ^rb+down+++=approximately
seventy ^cd++++=seventy-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
percent ^nnu++++=percent.
. ^zz++++=EXTRAWORD
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb+atrb+++=Bottom
continued ^jj+atrb++xvbn+=continued
production ^nn+nom+++=production
until ^in++++=until
its ^pp$+it+++=its
destruction ^nn+nom+++=destruction
during ^in++++=during
the ^ati++++=the
General ^jj++++=General
Rising ^jj+++xvbg+=Rising
of ^in++++=of
2236 ^cd++++=2236.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vanderwater ^np+nom++??+=Vanderwater
estates ^nns+nom+++=estates
were ^vbd+bed+aux++=were
abolished ^vpsv++by+xvbnx+=abolished
by ^in++++=by
the ^ati++++=the
First ^od++++=First
Commonwealth ^nn++++=Commonwealth
Decree ^nn++++=Decree
of ^in++++=of
2241 ^cd++++=2241.
. ^zz++++=EXTRAWORD
Excavations ^nns+nom+++=Excavations
at ^in++++=at
the ^ati++++=the
site ^nn++++=site
of ^in++++=of
Paradise ^nn++++=Paradise
have ^vb+hv+aux++=have
uncovered ^vprf+++xvbnx+=uncovered
portions ^nns+nom+++=portions
of ^in++++=of
the ^ati++++=the
eastern ^jj++++=eastern
bedchamber ^jjr++++=bedchamber,
, ^zz++++=EXTRAWORD
fragments ^nns+nom+++=fragments
of ^in++++=of
a ^at++++=a
silver ^nn++++=silver
serving ^vwbg+++xvbg+=serving
tray ^nn++++=tray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
household ^nn++++=household
archive ^nn++++=archive
from ^in++++=from
which ^whp+rel+pied++=which
several ^ap++++=several
details ^nns++++=details
in ^in++++=in
the ^ati++++=the
foregoing ^jj+atrb++xvbg+=foregoing
narrative ^nn++++=narrative
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
confirmed ^vpsv++agls+xvbnx+=confirmed.
. ^zz++++=EXTRAWORD
No ^at++++=No
record ^nn++++=record
of ^in++++=of
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
later ^rbr+tm+++=later
life ^nn++++=life
survives ^vbz++++=survives.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
literate ^jj+atrb+++=literate
worker ^nn++++=worker
who ^whp+rel+subj++=who
carried ^vbd+++xvbn+=carried
his ^pp$+pp3+++=his
arm ^nn++++=arm
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vbd+ben+aux++=been
recovered ^xvbn+++xvbn+=recovered.
. ^zz++++=EXTRAWORD
