Sailormen ^np+++??+=Sailormen
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
go ^vbi++++=go
off ^in+pl+++=off
afore ^in++++=afore
Jimmy ^nn++++=Jimmy
come ^vprf+++xvbn+=come
on ^in++++=on
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
that ^cs+sub+++=that
fool ^jjb++++=fool
of ^in++++=of
a ^at++++=a
mate ^nn++++=mate
kept ^vbd+++xvbn+=kept
us ^pp1o+pp1+++=us
there ^rn+pl+++=there
while ^cs+sub+++=while
' ^zz++++='e
e ^zz++++=EXTRAWORD
made ^vbd+++xvbn+=made
a ^rb++++=a
little ^rb"++++=little
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Twice ^rb++++=Twice
Bill ^nn++++=Bill
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
go ^vbi++++=go
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
' ^zz++++='e
e ^zz++++=EXTRAWORD
put ^vbd+++xvbn+=put
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
on ^in++++=on
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
arm ^vb++++=arm
and ^cc+phrs+++=and
kept ^vbd+++xvbn+=kept
' ^zz++++='im
im ^&fw++++=EXTRAWORD
there ^rn+pl+++=there
while ^cs+sub+++=while
' ^zz++++='e
e ^zz++++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
always ^rb++splt++=always
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
liked ^vpsv++by+xvbnx+=liked
by ^in++++=by
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
generally ^rb+down+++=generally
succeeded ^vbd+++xvbn+=succeeded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
it ^pp3+it+++=it
up ^rp++++=up
popped ^vbd+++xvbn+=popped
Master ^npt++++=Master
Jimmy ^nn++++=Jimmy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
a ^at++++=a
start ^vb++++=start
as ^ql++++=as
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
bag ^nn++++=bag,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
eyes ^nns++++=eyes
opened ^vbd+++xvbn+=opened
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
as ^ql++++=as
we ^pp1a+pp1+++=we
walked ^vbd+++xvbn+=walked
forward ^rb++++=forward
' ^zz++++='e
e ^zz++++=EXTRAWORD
put ^vbd+++xvbn+=put
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
arm ^vb++++=arm
through ^in++++=through
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
and ^cc++++=and
called ^vbd+++xvbn+=called
' ^zz++++='im
im ^&fw++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
names ^nns++++=names
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
steal ^vb++++=steal
the ^ati++++=the
milk ^nn++++=milk
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
cat ^nn++++=cat's
's ^$++++=EXTRAWORD
saucer ^nn++++=saucer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
leave ^vb++++=leave
this ^dt+dem+++=this
ship ^nn++++=ship
till ^cs+sub+++=till
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
my ^pp$+pp1+++=my
share ^nn++++=share."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
meant ^vbd+vprv+tht0+xvbnx+=meant
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
surprise ^nn++++=surprise
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
smile ^vbi++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
your ^pp$+pp2+++=your
surprises ^nns++++=surprises,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
deceive ^vb++++=deceive
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
open ^vb++++=open
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
opening ^xvbg+++xvbg+=opening
it ^pp3+it+++=it
in ^in++++=in
my ^pp$+pp1+++=my
bunk ^nn++++=bunk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
perlice ^nn+++??+=perlice
might ^md+pos+++=might
want ^vb++++=want
to ^to+vcmp+++=to
examine ^vbi++++=examine
it ^pp3+it+++=it
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
dock ^nn++++=dock.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='ead
ead ^nn+++??+=EXTRAWORD
at ^in++++=at
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
stay ^vb++++=stay
up ^rp++++=up
' ^zz++++='ere.
ere ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
might ^md+pos+++=might
forget ^vb+vprv+tht0++=forget
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
trusted ^vbd+++xvbnx+=trusted
myself ^ppl+pp1+++=myself
down ^rp++++=down
there ^rn+pl+++=there
with ^in++++=with
you ^pp2+pp2+++=you
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
throw ^vb++++=throw
my ^pp$+pp1+++=my
share ^nn++++=share
up ^in+cmpx+++=up
to ^in"++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
leave ^vb++++=leave
the ^ati++++=the
ship ^nn++++=ship
afore ^in++++=afore
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
to ^in++++=to
blazes ^nns++++=blazes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
the ^ati++++=the
last ^jj+atrb+++=last
chance ^nn++++=chance
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
gone ^vprf+++xvbn+=gone,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
chucked ^vprf+++xvbn+=chucked
the ^ati++++=the
bundle ^nn++++=bundle
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
one ^cd1++++=one
chap ^nn++++=chap
down ^rp++++=down
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
spending ^jj+atrb++xvbg+=spending
best ^jjt+atrb+++=best
part ^nn++++=part
of ^in++++0=o'
ten ^cd++++=ten
minutes ^nns++++=minutes
doing ^vwbg+++xvbg+=doing
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
hair ^nn++++=hair
' ^zz++++='e
e ^zz++++=EXTRAWORD
nodded ^vbd+++xvbn+=nodded
to ^in++++=to
us ^pp1o+pp1+++=us
and ^cc++++=and
went ^vbd+++xvbn+=went
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
a ^at++++=a
minute ^nn++++=minute
later ^rbr+tm+++=later
Bill ^nn++++=Bill
cut ^vbd+++xvbn+=cut
open ^jj++++=open
the ^ati++++=the
mattress ^nns+nom+++=mattress
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
search ^vbi++++=search
through ^in++++=through
the ^ati++++=the
stuffing ^nn++++=stuffing,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
struck ^vbd+++xvbnx+=struck
matches ^vbz++++=matches
and ^cc+phrs+++=and
watched ^vbd+++xvbn+=watched
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
big ^jj+atrb+++=big
mattress ^nns+nom+++=mattress
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
much ^rb++++=much
stuffing ^nn++++=stuffing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
went ^vbd+++xvbn+=went
all ^abn++++=all
over ^in++++=over
it ^pp3+it+++=it
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
and ^cc++++=and
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
stood ^vprf+++xvbn+=stood
up ^rp++++=up
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
caught ^vbd+++xvbn+=caught
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
breath ^nn++++=breath
painful ^jj++++=painful.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
the ^ati++++=the
mate ^nn++++=mate
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
' ^zz++++='usky
usky ^nn+++??+=EXTRAWORD
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
went ^vbd+++xvbn+=went
through ^in++++=through
it ^pp3+it+++=it
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
Bill ^nn++++=Bill
went ^vbd+++xvbn+=went
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
up ^rp++++=up
the ^ati++++=the
fo ^nn+++??+=fo'c's'le
'c's'le ^nn+++??+=EXTRAWORD
ladder ^nn++++=ladder
and ^cc++++=and
called ^vbd+++xvbn+=called
softly ^rb++++=softly
for ^in++++=for
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
three ^cd++++=three
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sinking ^jj+atrb++xvbg+=sinking
sensation ^nn+nom+++=sensation
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
stummick ^nn+++??+=stummick,
, ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
went ^vbd+++xvbn+=went
up ^rp++++=up
on ^in++++=on
deck ^nn++++=deck
and ^cc++++=and
I ^pp1a+pp1+++=I
follered ^vbd+++xvbnx+=follered
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
nowhere ^rb+pl+++=nowhere
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
All ^abn++++=All
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
cat ^nn++++=cat
' ^zz++++='aving
aving ^jj+++xvbg+=EXTRAWORD
a ^at++++=a
wash ^nn++++=wash
and ^cc++++=and
brush ^nn++++=brush-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
afore ^in++++=afore
going ^xvbg+++xvbg+=going
ashore ^rb+cnj+++=ashore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
skipper ^npt++++=skipper
standing ^vwbg+++xvbg+=standing
aft ^jjb++++=aft
talking ^jj+++xvbg+=talking
to ^in++++=to
the ^ati++++=the
owner ^nn++++=owner.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
boy ^nn++++=boy
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
turned ^vbd+++xvbn+=turned
up ^rb+phrv+++=up
for ^in++++=for
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
box ^nn++++=box,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
up ^rp++++=up
to ^to++++=to
draw ^vbi++++=draw
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pay ^nn++++=pay.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
else ^rb+cnj+++=else
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
mine ^pp$$++++=mine
and ^cc++++=and
come ^vb++++=come
outside ^jjb++++=outside
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
pore ^jj+atrb+++=pore
Bill ^nn++++=Bill
with ^in++++=with
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
back ^jjb++++=back
up ^rp++++=up
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
a ^at++++=a
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
kind ^nn++++=kind
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asking ^vbg+vsua++xvbg+=asking
' ^zz++++='im
im ^&fw++++=EXTRAWORD
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
slept ^vprf+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
thing ^nn++++=thing
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
of ^in++++=of
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pore ^jj+atrb+++=pore
chap ^nn++++=chap
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
got ^vbd+++xvbn+=got
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='ands
ands ^nns+++??+=EXTRAWORD
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
trousers ^nns+nom+++=trousers
pockets ^nns++++=pockets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbg+=trying
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
hardest ^jjt+pred+++=hardest
to ^in++++=to
smile ^nn++++=smile
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
