' ^zz++++='Way
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
coarse ^jj+atrb+++=coarse
gray ^np++++=gray
trousers ^nns+nom+++=trousers
and ^cc++++=and
blue ^jj+atrb+++=blue
woolen ^jj+atrb++xvbn+=woolen
blouse ^nn++++=blouse.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
in ^in++++=in
town ^nn++++=town
half ^abn++++=half
as ^ql++++=as
good ^jj++++=good-looking,"
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
complacently ^jj++++=complacently.
. ^zz++++=EXTRAWORD
The ^ati++++=The
autumn ^nn++++=autumn
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
winter ^nn++++=winter
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
entered ^vbd+++xvbn+=entered
on ^in++++=on
her ^pp$+pp3+++=her
lonely ^jj+atrb+++=lonely
way ^nn++++=way
through ^in++++=through
it ^pp3+it+++=it
with ^in++++=with
good ^jj+atrb+++=good
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
kindly ^jj+atrb+++=kindly,
, ^zz++++=EXTRAWORD
erratic ^jj+atrb+++=erratic
neighbor ^nn++++=neighbor
stood ^vwbn+++xvbn+=stood
by ^in++++=by
her ^pp$+pp3+++=her
faithfully ^rb++++=faithfully.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shoveled ^vbd+++xvbnx+=shoveled
her ^pp3o+pp3+++=her
paths ^nns++++=paths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
errands ^nns+++??+=errands
for ^in++++=for
her ^pp$+pp3+++=her
when ^wrb+who+++=when
the ^ati++++=the
roads ^nns++++=roads
were ^vbd+bed+vrb++=were
impassable ^jj+pred+++=impassable
to ^in++++=to
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
dreary ^jj+atrb+++=dreary
evenings ^nns++++=evenings
a ^at++++=a
lamp ^nn++++=lamp
shone ^vbd+++xvbn+=shone
into ^in++++=into
her ^pp$+pp3+++=her
room ^nn++++=room
from ^in++++=from
his ^pp$+pp3+++=his
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
him ^pp3o+pp3+++=him
sitting ^vbg+++xvbg+=sitting
there ^rn+pl+++=there
through ^rp++++=through
the ^ati++++=the
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
snowy ^jj+atrb+++=snowy
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
entered ^vbd+++xvbn+=entered
her ^pp$+pp3+++=her
house ^npl++++=house,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
on ^in++++=on
errands ^nns+++??+=errands.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
went ^vbd+++xvbn+=went
about ^in+ppvb+++=about
this ^dt+dem+++=this
winter ^nn++++=winter
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
young ^jj+atrb+++=young
people ^nns++++=people
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
dreamed ^vbd+vprv++xvbn+=dreamed
how ^wrb+who+whcl++=how
wistfully ^rb++++=wistfully
Sylvester ^np+nom++??+=Sylvester
used ^md"++pmd"++=used
to ^to++++=to
watch ^vb++++=watch
her ^pp$+pp3+++=her
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
her ^pp3o+pp3+++=her
house ^npl++++=house
with ^in++++=with
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
and ^cc+phrs+++=and
chatting ^vbg+++xvbg+=chatting.
. ^zz++++=EXTRAWORD
" ^zz++++="She'll
she ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
just ^rb+emph+++=just
like ^in++++=like
the ^ati++++=the
others ^aps++++=others,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
grimly ^rb++++=grimly
with ^in++++=with
his ^pp$+pp3+++=his
writing ^nvbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
slow ^jj+atrb+++=slow
work ^nn++++=work
to ^in++++=to
Sylvester ^np+nom++??+=Sylvester
Noble ^jj++++=Noble.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
little ^ap++++=little
besides ^rb++++=besides
nature ^nn++++=nature
to ^to++++=to
assist ^vbi++++=assist
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
grand ^jj+atrb+++=grand,
, ^zz++++=EXTRAWORD
beautiful ^jj+atrb+++=beautiful
goddess ^nns+nom+++=goddess
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
faltered ^j+++xvbn+=faltered
among ^in++++=among
his ^pp$+pp3+++=his
nouns ^nns++++=nouns
and ^cc++++=and
verbs ^nns++++=verbs.
. ^zz++++=EXTRAWORD
Noble ^np++++=Noble's
's ^$++++=EXTRAWORD
articles ^nns++++=articles
had ^md"++pmd"++=had
to ^md+nec+++=to
have ^vbi++vrb++=have
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
revision ^nn++++=revision,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
editors ^nns++++=editors
snatched ^vbd+++xvbn+=snatched
at ^rb++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
really ^rb+emph+++=really
had ^vb+hv+vrb++=had
something ^pn++++=something
new ^jj++++=new
to ^to++++=to
say ^vbi+vpub+++=say
about ^in++++=about
his ^pp$+pp3+++=his
subjects ^nns++++=subjects.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
Ada ^np+++??+=Ada
a ^at++++=a
magazine ^nn++++=magazine
with ^in++++=with
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
nature ^nn++++=nature
papers ^nns++++=papers
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
simple ^jj++++=simple
wonder ^vb++++=wonder
delighted ^jj+++xvbn+=delighted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
felt ^vbd+vprv++xvbn+=felt
a ^at++++=a
thrill ^nn++++=thrill
of ^in++++=of
pride ^nn++++=pride
over ^in++++=over
his ^pp$+pp3+++=his
work ^nn++++=work.
. ^zz++++=EXTRAWORD
" ^zz++++="Anybody
anybody ^pn++++=EXTRAWORD
could ^md+pos+++=could
do ^vb+do+vrb++=do
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
blushing ^vbg+++xvbg+=blushing.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
article ^nn++++=article
over ^in++++=over
and ^cc++++=and
over ^rb++++=over.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
spring ^nn++++=spring
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=could
be ^vb+be+vrb++=be
out ^rp+pl+++=out
in ^in++++=in
her ^pp3o+pp3+++=her
yard ^npl++++=yard
and ^cc++++=and
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
oftener ^rbr++++=oftener,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
June ^nr++++=June
evening ^nn++++=evening
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
her ^pp$+pp3+++=her
door ^nn++++=door
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
sauntered ^vbd+++xvbnx+=sauntered
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
" ^zz++++="Won't
will ^md+prd+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
in ^in+strn+++=in?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
just ^rb+emph+splt++=just
sit ^vb++++=sit
down ^rb+phrv+++=down
here ^rn+pl+++=here
a ^at++++=a
minute ^nn++++=minute."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
step ^nn++++=step
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
done ^vbd+++xvbn+=done
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
sat ^vprf+++xvbnx+=sat
there ^rn+pl+++=there
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
when ^wrb+who+++=when
Ellen ^np++++=Ellen
Ives ^np+++??+=Ives
came ^vbd+++xvbn+=came
in ^in++++=in
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
Sylvester ^np+nom++??+=Sylvester
started ^vbd+++xvbn+=started
up ^rp++++=up
abruptly ^rb+cnj+++=abruptly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone
across ^in+pl+++=across
the ^ati++++=the
yard ^nn++++=yard
before ^cs+sub+++=before
Ada ^np+++??+=Ada
could ^md+pos+++=could
say ^vb+vpub+++=say
a ^at++++=a
word ^nn++++=word
in ^in++++=in
answer ^nn++++=answer
to ^in++++=to
his ^pp$+pp3+++=his
good ^jj+atrb+++=good
night ^nn++++=night.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
that ^cs+sub+++=that
run ^vprf+++xvbn+=run
so ^ql+emph+++=so
quick ^jj++++=quick?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Ellen ^np++++=Ellen,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Noble ^np++++=Noble."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ada,
ada ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
over ^in++++=over
here ^rn+pl+++=here
sitting ^vbg+++xvbg+=sitting
with ^in++++=with
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
came ^vbd+++xvbnx+=came
over ^in++++=over
just ^rb+emph+++=just
a ^at++++=a
minute ^nn++++=minute
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
just ^rb+emph+++=just
heard ^vbn+vprv+tht0+xvbn+=heard
something ^pn++++=something
awful ^jj++++=awful
about ^rb++++=about
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
real ^jj+atrb+++=real
kind ^nn++++=kind
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++=he
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
kind ^rb++++=kind
of ^rb"++++=of
a ^at++++=a
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
real ^rb+emph+++=real
straight ^jj++++=straight.
. ^zz++++=EXTRAWORD
Alice ^np++++=Alice
Roberts ^np++++=Roberts
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
from ^in++++=from
her ^pp$+pp3+++=her
cousin ^nn++++=cousin
that ^tht+rel+obj++=that
lives ^nns++++=lives
over ^in++++=over
in ^in++++=in
Pembroke ^np+++??+=Pembroke.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
from ^in+strn+++=from,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
cheated ^vbd+++xvbnx+=cheated
his ^pp$+pp3+++=his
brother ^nn++++=brother
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
share ^nn++++=share
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
property ^nn++++=property,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
worst ^nn++++=worst
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
away ^rb+phrv+++=away
the ^ati++++=the
girl ^nn++++=girl
his ^pp$+pp3+++=his
brother ^nn++++=brother
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
to ^in++++=to
" ^zz++++="
" ^zz++++="Is
is ^vbz+bez+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
Alice ^np++++=Alice
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
kind ^rb++++=kind
of ^rb"++++=of
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
nonsense ^nn++++=nonsense
about ^rp++++=about
his ^pp$+pp3+++=his
being ^xvbg+++xvbg+=being
disappointed ^vbd+++xvbn+=disappointed
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
anything ^pn++++=anything
more ^ql++++=more
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
such ^abl++++=such
a ^at++++=a
story ^nn++++=story."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
'd ^md+prd+vrb++=had
it ^pp3+it+++=it
so ^ql+emph+++=so
straight ^jj++++=straight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
treated ^vpsv++agls+xvbnx+=treated
me ^pp1o+pp1+++=me
well ^rb++++=well.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
a ^at++++=a
word ^nn++++=word
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
Ellen ^np++++=Ellen
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
home ^nr++++=home,
, ^zz++++=EXTRAWORD
half ^abn++++=half
indignant ^jj++++=indignant
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
owned ^vbd+++xvbnx+=owned
to ^in++++=to
herself ^ppl+pp3+++=herself
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
the ^ati++++=the
bell ^nn++++=bell
far ^rb+pl+++=far
back ^jjb++++=back
on ^in++++=on
the ^ati++++=the
bureau ^nn++++=bureau
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
" ^zz++++="Ring
ring ^nn++++=EXTRAWORD
it ^pp3+it+++=it
for ^in++++=for
him ^pp3o+pp3+++=him!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
muttered ^vbd+++xvbnx+=muttered
bitterly ^rb++++=bitterly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
she ^pp3a+pp3+++=she
never ^rb++++=never
looked ^vbd+++xvbn+=looked
his ^pp$+pp3+++=his
way ^nn++++=way.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kept ^vbd+++xvbnx+=kept
on ^rb+phrv+++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
go ^vb++++=go
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
night ^nn++++=night
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
knocked ^vbd+++xvbn+=knocked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
just ^rb+emph+++=just
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
let ^vbi++++=let
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
away ^rp+pl+++=away
to ^to++++=to-morrow."
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her
wonderingly ^jj++++=wonderingly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shan't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
gone ^vpsv++agls+xvbnx+=gone
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
more ^rbr++++=more'n
'n ^vb+++??+=EXTRAWORD
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
Ives ^np+++??+=Ives
girl ^nn++++=girl
come ^vprf+++xvbn+=come
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
manage ^vb++++=manage
my ^pp$+pp1+++=my
own ^ap++++=own
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ada ^np+++??+=Ada.
. ^zz++++=EXTRAWORD
Sylvester ^np+nom++??+=Sylvester
Noble ^jj+atrb+++=Noble
turned ^jj+atrb++xvbn+=turned
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
believe ^vb+vprv+++=believe
his ^pp$+pp3+++=his
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
safe ^jj++++=safe
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
be ^vbi++vrb++=be
