Human ^jj+atrb+++=Human
-- ^--+clp+++=EXTRAWORD
hear ^vb+vprv+tht0++=EXTRAWORD
that ^tht+vcmp+++=that?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
hear ^vb+vprv+tht0++=hear
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
very ^ql+amp+++=very
sorry ^uh++++=sorry
too ^rb++++=too.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
a ^at++++=a
very ^ql+amp+++=very
bad ^jj+atrb+++=bad
opinion ^nn++++=opinion
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
not ^xnot++not++=not
do ^vb+do+vrb++=do
as ^ql++++=as
you ^pp2+pp2+++=you
like ^vb++++=like
in ^in++++=in
your ^pp$+pp2+++=your
own ^ap++++=own
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Rage ^nn++++=Rage
as ^ql++++=as
you ^pp2+pp2+++=you
please ^uh++++=please.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
not ^xnot++not++=not
do ^vb+do+vrb++=do
as ^ql++++=as
you ^pp2+pp2+++=you
like ^vb++++=like
in ^in++++=in
your ^pp$+pp2+++=your
own ^ap++++=own
house ^nn++++=house.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
contemptuous ^jj+atrb+++=contemptuous
anger ^nn++++=anger
in ^in++++=in
her ^pp$+pp3+++=her
eye ^nn++++=eye
which ^whp+rel+obj++=which
the ^ati++++=the
man ^nn++++=man
could ^md+pos+++=could
not ^xnot++not++=not
face ^vb++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lost ^vbd+++xvbnx+=lost
all ^abn++++=all
control ^nn++++=control
of ^in++++=of
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
uttered ^xvbn+++xvbn+=uttered
coarse ^jj+atrb+++=coarse
oaths ^nns++++=oaths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
quivering ^jj+++xvbg+=quivering.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
woman ^nn++++=woman
began ^vbd+++xvbn+=began
to ^to++++=to
lecture ^vbi++++=lecture
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
talked ^vbd+++xvbnx+=talked
steadily ^rb+cnj+++=steadily,
, ^zz++++=EXTRAWORD
acrimoniously ^jj++++=acrimoniously,
, ^zz++++=EXTRAWORD
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
his ^pp$+pp3+++=his
interruptions ^nns+nom+++=interruptions.
. ^zz++++=EXTRAWORD
Nervously ^rb++++=Nervously
exhausted ^jj+++xvbn+=exhausted,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
fled ^vbd+++xvbnx+=fled
at ^rb++++=at
length ^rb"++++=length
from ^in++++=from
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
A ^at++++=A
couple ^nn++++=couple
of ^in++++=of
hours ^nns++++=hours
later ^rbr+tm+++=later
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
nuptial ^jj+atrb+++=nuptial
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
began ^vbd+++xvbn+=began
to ^to++++=to
talk ^vbi++++=talk.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
point ^nn++++=point,
, ^zz++++=EXTRAWORD
as ^ql++++=as
before ^in++++=before,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
married ^vprf+++xvbn+=married
life ^nn++++=life
about ^in++++=about
as ^ql++++=as
badly ^rb++++=badly
as ^in++++=as
possible ^nn++++=possible.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
her ^pp3o+pp3+++=her
at ^rb++++=at
all ^abn++++=all?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
fault ^nn++++=fault
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
committed ^vbd+++xvbnx+=committed
to ^in++++=to
incur ^nn+++??+=incur
such ^abl++++=such
outrageous ^jj+atrb+++=outrageous
usage ^nn++++=usage?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
goodness ^nns+nom+++=goodness,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
will ^nn++++=will
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
proper ^jj+atrb+++=proper
self ^nn++++=self-respect;
- ^zz++++=EXTRAWORD
respect ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
behave ^vb++++=behave
as ^ql++++=as
he ^pp3a+pp3+++=he
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
still ^rb++splt++=still
persevere ^vb++++=persevere
in ^in++++=in
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
womanly ^jj+atrb+++=womanly
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
make ^vbi++++=make
her ^pp$+pp3+++=her
life ^nn++++=life
unbearable ^jj++++=unbearable
he ^pp3a+pp3+++=he
would ^md+prd+++=would
find ^vb+vprv+tht0++=find
his ^pp$+pp3+++=his
mistake ^nn++++=mistake;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
simply ^rb++++=simply
should ^md+nec+++=should
not ^xnot++not++=not
heed ^nn++++=heed
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
he ^pp3a+pp3+++=he
would ^md+prd+++=would
return ^vb++++=return
to ^in++++=to
his ^pp$+pp3+++=his
senses ^nns++++=senses
before ^in++++=before
long ^jj++++=long--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
vein ^nn++++=vein
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
continued ^vbd+++xvbn+=continued
until ^cs+sub+++=until
night ^nn++++=night
was ^vbd+bedz+vrb++=was
at ^rb++++=at
odds ^nns++++=odds
with ^in++++=with
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
becoming ^vbg+++xvbg+=becoming
silent ^jj++++=silent
when ^wrb+who+++=when
her ^pp$+pp3+++=her
partner ^nn++++=partner
had ^vbd+hvd+aux++=had
sunk ^vprf+++xvbnx+=sunk
into ^in++++=into
the ^ati++++=the
oblivion ^nn++++=oblivion
of ^in++++=of
uttermost ^jjb+atrb+++=uttermost
fatigue ^nn++++=fatigue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan's
's ^$++++=EXTRAWORD
demeanour ^nn++++=demeanour
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment
at ^rb++++=at
all ^abn++++=all
events ^nns++++=events,
, ^zz++++=EXTRAWORD
defeated ^j+++xvbn+=defeated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
no ^at++++=no
attempt ^nn++++=attempt
to ^to+ncmp+++=to
read ^vbn+vprv++xvbn+=read
at ^in++++=at
breakfast ^nn++++=breakfast;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
about ^rb+phrv+++=about
very ^ql+amp+++=very
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
at ^in++++=at
the ^ati++++=the
regulation ^nn+nom+++=regulation
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
had ^vb+hv+vrb++=had
friends ^nns++++=friends
in ^in++++=in
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
little ^jj++++=little
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
ordinary ^jj+atrb+++=ordinary
tastes ^nns++++=tastes.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
proved ^jj+vprv+tht0+xvbn+=proved
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
the ^ati++++=the
possession ^nn++++=possession
of ^in++++=of
a ^at++++=a
nice ^jj+atrb+++=nice
house ^nn++++=house,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
prospects ^nns++++=prospects
of ^in++++=of
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
life ^nn++++=life,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
end ^nn++++=end
in ^in++++=in
itself ^ppl++++=itself;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
desire ^nn++++=desire
to ^to+ncmp+++=to
exhibit ^vbi++++=exhibit
her ^pp$+pp3+++=her
well ^rb++++=well-furnished
- ^zz++++=EXTRAWORD
furnished ^xvbn+++xvbn+=EXTRAWORD
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
gad ^np++++=gad
about ^in++++=about
talking ^nn++++=talking
of ^in++++=of
her ^pp$+pp3+++=her
advantages ^nns+nom+++=advantages.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
moment ^nn++++=moment
of ^in++++=of
her ^pp$+pp3+++=her
day ^nn++++=day
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
up ^rb+phrv+++=up
in ^in++++=in
the ^ati++++=the
superintendence ^nn+nom+++=superintendence
of ^in++++=of
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
the ^ati++++=the
discharge ^nn++++=discharge
of ^in++++=of
an ^at++++=an
infinitude ^nn+++??+=infinitude
of ^in++++=of
housewifely ^jj+atrb+++=housewifely
tasks ^nns++++=tasks.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
no ^at++++=no
assistance ^nn+nom+++=assistance
from ^in++++=from
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter;
; ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
went ^vbd+++xvbn+=went
to ^in++++=to
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
encouraged ^vpsv++agls+xvbnx+=encouraged
to ^to+vcmp+++=to
study ^vb++++=study
with ^in++++=with
the ^ati++++=the
utmost ^jjb+atrb+++=utmost
application ^nn+nom+++=application.
. ^zz++++=EXTRAWORD
The ^ati++++=The
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
mere ^jjb+atrb+++=mere
accident ^nn++++=accident--save
-- ^--+clp+++=EXTRAWORD
save ^vb++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
still ^rb+atrb+++=still
nocturnal ^jj+atrb+++=nocturnal
season ^nn++++=season,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
bestowed ^vbd+++xvbn+=bestowed
upon ^in++++=upon
him ^pp3o+pp3+++=him
her ^pp3o+pp3+++=her
counsel ^npt++++=counsel
and ^cc++++=and
her ^pp$+pp3+++=her
admonitions ^nns+nom+++=admonitions.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
lapse ^nn++++=lapse
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
again ^rb+tm+++=again
offered ^vbd+++xvbn+=offered
combat ^nn++++=combat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
threw ^vbd+++xvbn+=threw
himself ^ppl+pp3+++=himself
into ^in++++=into
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
frenzy ^nn++++=frenzy.
. ^zz++++=EXTRAWORD
' ^zz++++='Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted
at ^rb++++=at
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
' ^zz++++='either
either ^dtx++++=EXTRAWORD
you ^pp2+pp2+++=you
or ^cc++++=or
I ^pp1a+pp1+++=I
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
leave ^vb++++=leave
this ^dt+dem+++=this
house ^nn++++=house.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
live ^vb++++=live
with ^in+ppvb+++=with
you ^pp2+pp2+++=you--understand?
-- ^--+clp+++=EXTRAWORD
understand ^vb+vprv+++=EXTRAWORD
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
you ^pp2+pp2+++=you!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
retorted ^vbd+++xvbn+=retorted
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
with ^in++++=with
mild ^jj+atrb+++=mild
bitterness ^nns+nom+++=bitterness.
. ^zz++++=EXTRAWORD
' ^zz++++='Abuse
abuse ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
you ^pp2+pp2+++=you
like ^vb++++=like,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
bear ^vb+vprv+tht0++=bear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
continue ^vb++++=continue
to ^to++++=to
do ^vbi++++=do
my ^pp$+pp1+++=my
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
recourse ^nn++++=recourse
to ^in++++=to
personal ^jj+atrb+++=personal
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
remain ^vb++++=remain.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
go ^vb++++=go
too ^rb++++=too
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
the ^ati++++=the
law ^nn++++=law
must ^md+nec+++=must
defend ^vb++++=defend
me ^pp1o+pp1+++=me!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
precisely ^rb++++=precisely
what ^wdt+who+++=what
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
knew ^vbd+vprv++xvbn+=knew
and ^cc+phrs+++=and
dreaded ^vbd+++xvbn+=dreaded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
law ^nn++++=law
was ^vbd+bedz+vrb++=was
on ^in++++=on
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
applying ^xvbg+++xvbg+=applying
at ^rb++++=at
a ^at++++=a
police ^nns++++=police-court
- ^zz++++=EXTRAWORD
court ^nn++++=EXTRAWORD
for ^in++++=for
protection ^nn+nom+++=protection
she ^pp3a+pp3+++=she
could ^md+pos+++=could
overwhelm ^vb++++=overwhelm
him ^pp3o+pp3+++=him
with ^in++++=with
shame ^nn++++=shame
and ^cc++++=and
ridicule ^nn++++=ridicule,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
make ^vb++++=make
life ^nn++++=life
intolerable ^jj++++=intolerable.
. ^zz++++=EXTRAWORD
Impossible ^jj++++=Impossible
to ^to+jcmp+++=to
argue ^vbi+vpub+++=argue
with ^in++++=with
this ^dt+dem+++=this
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fault ^nn++++=fault
always ^rb++++=always
seemed ^vbd+seem+tht0+xvbn+=seemed
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
was ^vbd+bedz+aux++=was
simply ^rb++splt++=simply
doing ^vbg+++xvbgx+=doing
her ^pp3o+pp3+++=her
duty ^nn++++=duty--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
a ^at++++=a
spirit ^nn++++=spirit
of ^in++++=of
admirable ^jj+atrb+++=admirable
thoroughness ^nns+nom+++=thoroughness;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
third ^nn++++=third
person ^nn++++=person,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
appear ^vb+seem+++=appear
an ^at++++=an
unreasonable ^jj+atrb+++=unreasonable
and ^cc+phrs+++=and
violent ^jj+atrb+++=violent
curmudgeon ^nn++++=curmudgeon.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
it ^pp3+it+++=it
not ^xnot++not++=not
all ^abn++++=all
sprung ^vbd+++xvbn+=sprung
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
obstinacy ^nn+nom+++=obstinacy
with ^in++++=with
regard ^nn++++=regard
to ^to++++=to
reading ^vbi++++=reading
at ^in++++=at
breakfast ^nn++++=breakfast?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
explain ^vb+vpub+++=explain
to ^in++++=to
anyone ^pn++++=anyone
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
suffered ^vbd+++xvbnx+=suffered
in ^in++++=in
his ^pp$+pp3+++=his
nerves ^nns++++=nerves,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
outraged ^jj+atrb++xvbn+=outraged
habitudes ^nns+++??+=habitudes
of ^in++++=of
a ^at++++=a
lifetime ^nn++++=lifetime?
? ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
evening ^nn++++=evening
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
return ^vb++++=return
to ^in++++=to
Wood ^nn++++=Wood
Green ^nn++++=Green.
. ^zz++++=EXTRAWORD
Afraid ^jj++++=Afraid
of ^in++++=of
questions ^nns+nom+++=questions
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
showed ^vbd+vprv+tht0+xvbnx+=showed
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
resorts ^nns++++=resorts,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spent ^vbd+++xvbnx+=spent
some ^dti++++=some
hours ^nns++++=hours
in ^in++++=in
a ^at++++=a
billiard ^nn++++=billiard-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
near ^in+pl+++=near
King ^np++++=King's
's ^$++++=EXTRAWORD
Cross ^nn++++=Cross,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
towards ^in++++=towards
midnight ^nn++++=midnight
took ^vbd+++xvbn+=took
a ^at++++=a
bedroom ^nn++++=bedroom
under ^in++++=under
the ^ati++++=the
same ^ap++++=same
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
On ^in++++=On
going ^nn++++=going
to ^in++++=to
business ^nns+nom+++=business
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
awaited ^vbd+++xvbnx+=awaited
with ^in++++=with
tremors ^nns++++=tremors
either ^dtx++++=either
a ^at++++=a
telegram ^nn++++=telegram
or ^cc++++=or
a ^at++++=a
visit ^nn++++=visit
from ^in++++=from
his ^pp$+pp3+++=his
wife ^nn++++=wife;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
whole ^jj+atrb+++=whole
day ^nn++++=day
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
dark ^jj++++=dark
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
once ^rb+tm+++=once
more ^rbr++++=more
about ^in++++=about
the ^ati++++=the
beloved ^jj+atrb+++=beloved
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
to ^to++++=to
look ^vbi++++=look
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
windows ^nns++++=windows
of ^in++++=of
this ^dt+dem+++=this
or ^cc++++=or
that ^cs+sub+++=that
well ^rb++++=well
remembered ^vbd+vprv++xvbn+=remembered
house ^npl++++=house.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
durst ^nn+++??+=durst
but ^cc++++=but
enter ^vb++++=enter
and ^cc+phrs+++=and
engage ^vb++++=engage
a ^at++++=a
lodging ^nn++++=lodging!
! ^zz++++=EXTRAWORD
Impossible ^jj++++=Impossible--for
-- ^--+clp+++=EXTRAWORD
for ^rb++++=EXTRAWORD
ever ^rb"++++=ever
impossible ^jj++++=impossible!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slept ^vbd+++xvbnx+=slept
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
place ^nn++++=place
as ^ql++++=as
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
again ^rb+tm+++=again
a ^at++++=a
day ^nn++++=day
passed ^vbd+++xvbn+=passed
without ^in++++=without
any ^dti++++=any
sort ^nn++++=sort
of ^in++++=of
inquiry ^nn++++=inquiry
from ^in++++=from
Wood ^nn++++=Wood
Green ^nn++++=Green.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
evening ^nn++++=evening
came ^vbd+++xvbn+=came
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
behaved ^vbd+++xvbn+=behaved
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
from ^in++++=from
business ^nns+nom+++=business
in ^in++++=in
the ^ati++++=the
usual ^jj+atrb+++=usual
way ^nn++++=way.
. ^zz++++=EXTRAWORD
' ^zz++++='Is
is ^vbz+bez+aux++=EXTRAWORD
it ^pp3+it+++=it
raining ^vbg+++xvbg+=raining?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
half ^abn++++=half-smile.
- ^zz++++=EXTRAWORD
smile ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
her ^pp$+pp3+++=her
husband ^nn++++=husband
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
in ^in++++=in
as ^in++++=as
matter ^nn++++=matter-of-fact
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
fact ^nn++++=EXTRAWORD
a ^at++++=a
tone ^nn++++=tone
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
command ^vb++++=command,
, ^zz++++=EXTRAWORD
' ^zz++++='No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't.'
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
mention ^nn++++=mention
between ^in++++=between
them ^pp3o+pp3+++=them
of ^in++++=of
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
talked ^vbd+++xvbn+=talked
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two
of ^in++++=of
his ^pp$+pp3+++=his
bad ^jj+atrb+++=bad
habit ^nn++++=habit
of ^in++++=of
stepping ^nn++++=stepping
on ^in++++=on
the ^ati++++=the
paint ^nn++++=paint
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
