Over ^in++++=Over
disappointed ^vpsv++agls+xvbnx+=disappointed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
back ^rb+phrv+++=back
to ^in++++=to
his ^pp$+pp3+++=his
irony ^nn++++=irony.
. ^zz++++=EXTRAWORD
" ^zz++++="Whatever,"
whatever ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
pursued ^vbd+++xvbn+=pursued,
, ^zz++++=EXTRAWORD
" ^zz++++="became
became ^vbd+++xvbn+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
died ^vbd+++xvbnx+=died
rather ^rb++++=rather
young ^jj++++=young;
; ^zz++++=EXTRAWORD
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
years ^nns++++=years
ago ^rb++++=ago;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
soon ^rb+tm+++=soon
after ^in++++=after
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
went ^vbd+++xvbn+=went
away ^rp+pl+++=away
without ^in++++=without
saying ^xvbg+++xvbg+=saying
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
presently ^rb+tm+++=presently
returned ^vbd+++xvbn+=returned
with ^in++++=with
the ^ati++++=the
sandwich ^nn++++=sandwich
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
apparently ^rb++splt++=apparently
gone ^vprf+++xvbnx+=gone
for ^in+ppvb+++=for,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Wanhope ^np+++??+=Wanhope
was ^vbd+bedz+aux++=was
remarking ^vbg+++xvbgx+=remarking:
: ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
want ^nn++++=want
of ^in++++=of
definition ^nn+nom+++=definition
in ^in++++=in
the ^ati++++=the
presentiment ^nn+nom+++=presentiment
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
its ^pp$+it+++=its
determination ^nn+nom+++=determination
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
direction ^nn+nom+++=direction
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
propinquity ^nn+nom+++=propinquity--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all
very ^ql+amp+++=very
curious ^jj++++=curious.
. ^zz++++=EXTRAWORD
Possibly ^rb++++=Possibly
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
some ^dti++++=some
day ^nn++++=day
discover ^nn+nom+++=discover
a ^at++++=a
law ^nn++++=law
in ^in++++=in
such ^abl++++=such
matters ^nns+nom+++=matters."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
your ^pp$+pp2+++=your
boyhood ^nn+nom+++=boyhood
was ^vbd+bedz+aux++=was
passed ^vpsv++agls+xvbnx+=passed
in ^in++++=in
the ^ati++++=the
Middle ^jjb++++=Middle
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
thought ^nn+++xvbn+=thought
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
a ^at++++=a
Bostonian ^np+++??+=Bostonian."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
adoptive ^nn++++=adoptive
Bostonian ^np+++??+=Bostonian
for ^in++++=for
a ^at++++=a
good ^jj++++=good
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
become ^vbi++++=become
a ^at++++=a
native ^jj++++=native
New ^jj++++=New-Yorker,
- ^zz++++=EXTRAWORD
yorker ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
always ^rb++++=always
be ^vb+be+vrb++=be
near ^in+cmpx+++=near
to ^in"++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
never ^rb++splt++=never
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
delicate ^jj+atrb+++=delicate
satisfaction ^nn+nom+++=satisfaction
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
severally ^rb++splt++=severally
restored ^vpsv++agls+xvbnx+=restored
to ^in++++=to
the ^ati++++=the
wonted ^jj+atrb+++=wonted
relations ^nns+nom+++=relations
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
story ^nn++++=story
had ^vbd+hvd+aux++=had
interrupted ^xvbn+++xvbn+=interrupted.
. ^zz++++=EXTRAWORD
