Winifred ^np++++=Winifred
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=will
never ^rb++splt++=never
belong ^vb++++=belong
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hands ^nns++++=hands
will ^md+prd+++=will
never ^rb++splt++=never
build ^vb++++=build
a ^at++++=a
prison ^nn++++=prison
for ^in++++=for
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^nn++++=thought
with ^in++++=with
grim ^jj+atrb+++=grim
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
