( ^zz++++=(1
shot ^vbd+++xvbn+=shot
across ^in+pl+++=across
my ^pp$+pp1+++=my
heart ^nn++++=heart
the ^ati++++=the
afternoon ^nn++++=afternoon
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
whispered ^vpsv++agls+xvbnx+=whispered
through ^in++++=through
the ^ati++++=the
town ^nn++++=town
that ^tht+rel+obj++=that
a ^at++++=a
body ^nn++++=body
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
washed ^vpsv++agls+xvbnx+=washed
ashore ^rb+pl+++=ashore
at ^rb++++=at
Grave ^jj+atrb+++=Grave
Point ^nn++++=Point--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
place ^nn++++=place
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
bathed ^vbd+++xvbn+=bathed!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
bathed ^vbd+++xvbn+=bathed
there ^rn+pl+++=there
no ^at++++=no
more ^ql++++=more!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
well ^rb++++=well
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
a ^at++++=a
piteous ^jj+atrb+++=piteous
sight ^nn++++=sight
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
afterwards ^rb+tm+++=afterwards
to ^to++++=to
see ^vbi+vprv+++=see
his ^pp$+pp3+++=his
familiar ^jj+atrb+++=familiar
name ^nn++++=name
on ^in++++=on
a ^at++++=a
small ^jj+atrb+++=small
headstone ^nn++++=headstone
in ^in++++=in
the ^ati++++=the
Old ^jj+atrb+++=Old
South ^nr+pl+++=South
Burying ^vwbg+++xvbg+=Burying-Ground!
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
little ^jj+atrb+++=little
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace!
! ^zz++++=EXTRAWORD
Always ^rb++++=Always
the ^ati++++=the
same ^ap++++=same
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown
up ^rp++++=up
into ^in++++=into
hard ^jj+atrb+++=hard,
, ^zz++++=EXTRAWORD
worldly ^jj+atrb+++=worldly
men ^nns++++=men,
, ^zz++++=EXTRAWORD
fighting ^nvbg+++xvbg+=fighting
the ^ati++++=the
fight ^nn++++=fight
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
forever ^rb++++=forever
young ^jj+pred+++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pure ^jj++++=pure;
; ^zz++++=EXTRAWORD
a ^at++++=a
part ^nn++++=part
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
childhood ^nn+nom+++=childhood
that ^tht+rel+++=that
time ^nn++++=time
cannot ^md+pos+not++=cannot
wither ^vb++++=wither;
; ^zz++++=EXTRAWORD
always ^rb++++=always
a ^rb++++=a
little ^rb"++++=little
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
always ^rb++++=always
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
binny ^np++++=Binny
wallace ^np++++=Wallace!
! ^zz++++=EXTRAWORD
