Scene. ^np+++??+=Scene.--The
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='Huldy,
huldy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
much ^rb++++=much
in ^in++++=in
temporals ^nns+nom+++=temporals,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
felt ^vbd+vprv+tht0+xvbn+=felt
her ^pp$+pp3+++=her
heart ^nn++++=heart
go ^vb++++=go
out ^rp+pl+++=out
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^cs+sub+++=so
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
meek ^jj++++=meek
and ^cc+phrs+++=and
helpless ^jj++++=helpless
and ^cc+phrs+++=and
lamed ^jj+++xvbn+=lamed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
trouble ^nn++++=trouble
your ^pp$+pp2+++=your
head ^jjb++++=head
no ^at++++=no
more ^rbr++++=more
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
to ^to+vcmp+++=to
things ^vb++++=things;'
; ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
sure ^jj++++=sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
a ^at++++=a
week ^nn++++=week
arter ^jjr++++=arter
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
nice ^jj+atrb+++=nice
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
all ^abn++++=all
ship ^nn++++=ship-shape,
- ^zz++++=EXTRAWORD
shape ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
little ^ap++++=little
white ^jj+atrb+++=white
pigs ^nns++++=pigs
that ^tht+rel+obj++=that
Huldy ^np+++??+=Huldy
bought ^vbd+++xvbn+=bought
with ^in++++=with
the ^ati++++=the
money ^nn++++=money
for ^in++++=for
the ^ati++++=the
butter ^nn++++=butter
she ^pp3a+pp3+++=she
sold ^vbd+++xvbnx+=sold
at ^rb++++=at
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wal,
' ^zz++++=EXTRAWORD
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
most ^ql+emph+++=most
amazin ^nn+++??+=amazin'
' ^zz++++=EXTRAWORD
child ^nn++++=child:
: ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
but ^cc++++=but
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
more ^ql++++=more
than ^cs+sub+++=than
most ^ql+emph+++=most
folks ^nns++++=folks.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Arter
arter ^jjr++++=EXTRAWORD
that ^cs+sub+++=that
the ^ati++++=the
parson ^nn++++=parson
set ^vbd+++xvbn+=set
sich ^&fw++++=sich
store ^nn++++=store
by ^in++++=by
Huldy ^np+++??+=Huldy
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
come ^vb++++=come
to ^in++++=to
her ^pp$+pp3+++=her
and ^cc++++=and
asked ^vbd+vsua+tht0+xvbn+=asked
her ^pp$+pp3+++=her
about ^in++++=about
every ^at++++=every
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
amazin ^nn+++??+=amazin'
' ^zz++++=EXTRAWORD
how ^wrb+who+++=how
every ^at++++=every
thing ^nn++++=thing
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
her ^pp$+pp3+++=her
hand ^nn++++=hand
to ^to++++=to
prospered ^vbi++++=prospered.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
planted ^vwbn+++xvbn+=planted
marigolds ^nns+++??+=marigolds
and ^cc++++=and
larkspurs ^nns+++??+=larkspurs,
, ^zz++++=EXTRAWORD
pinks ^nns+++??+=pinks
and ^cc++++=and
carnations ^nns+nom+++=carnations,
, ^zz++++=EXTRAWORD
all ^abn++++=all
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
path ^nn++++=path
to ^in++++=to
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trained ^vbd+++xvbn+=trained
up ^rp++++=up
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
glories ^nns++++=glories
and ^cc++++=and
scarlet ^jj++++=scarlet-runners
- ^zz++++=EXTRAWORD
runners ^nns+nom+++=EXTRAWORD
round ^in++++=round
the ^ati++++=the
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
a ^at++++=a
root ^nn++++=root
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sprig ^nn+++??+=sprig
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
seed ^nn++++=seed
from ^in++++=from
somebody ^pn++++=somebody
else ^rb+cnj+++=else:
: ^zz++++=EXTRAWORD
for ^in++++=for
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
them ^pp3o+pp3+++=them
that ^dt+pdem+++=that
has ^vbz+hvz+vrb++=has
the ^ati++++=the
gift ^nn++++=gift,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
ef ^nn+++??+=ef
you ^pp2+pp2+++=you
jist ^nn++++=jist
give ^vb++++=give
them ^pp3o+pp3+++0='em
the ^ati++++=the
leastest ^jjt+atrb+++=leastest
sprig ^nn+++??+=sprig
of ^in++++=of
any ^dti++++=any
thing ^nn++++=thing
they ^pp3a+pp3+++=they
make ^vb++++=make
a ^at++++=a
great ^jj+atrb+++=great
bush ^nn++++=bush
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it
right ^rb++++=right
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
in ^in++++=in
six ^cd++++=six
months ^nns++++=months
Huldy ^np+++??+=Huldy
had ^vb+hv+vrb++=had
roses ^nns++++=roses
and ^cc++++=and
geraniums ^nns++++=geraniums
and ^cc++++=and
lilies ^nns++++=lilies,
, ^zz++++=EXTRAWORD
sich ^&fw++++=sich
as ^ql++++=as
it ^pp3+it+++=it
would ^md+prd+++=would
a ^at++++=a
took ^vbd+++xvbn+=took
a ^at++++=a
gardener ^nn+nom+++=gardener
to ^to++++=to
raise ^vbi++++=raise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
no ^at++++=no
notice ^vb+vprv+++=notice
at ^rb++++=at
fust ^nn+++??+=fust;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
the ^ati++++=the
yard ^nn++++=yard
was ^vbd+bedz+vrb++=was
all ^abn++++=all
ablaze ^nn+++??+=ablaze
with ^in++++=with
flowers ^nns+nom+++=flowers
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
and ^cc++++=and
stand ^nn++++=stand
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++0=o'
maze ^nn++++=maze
at ^in++++=at
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Beautiful,
beautiful ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
beautiful ^jj++++=beautiful:
: ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
see ^vb+vprv+++=see
any ^dti++++=any
thing ^nn++++=thing
like ^in++++=like
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
when ^wrb+who+++=when
her ^pp$+pp3+++=her
work ^nn++++=work
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
arternoons ^nns+++??+=arternoons,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
would ^md+prd+++=would
sit ^vb++++=sit
with ^in++++=with
her ^pp$+pp3+++=her
sewin ^nn+++??+=sewin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sing ^vb++++=sing
and ^cc++++=and
trill ^nn++++=trill
away ^rp+pl+++=away
till ^cs+sub+++=till
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
draw ^vb++++=draw
the ^ati++++=the
meadow ^nn++++=meadow-larks
- ^zz++++=EXTRAWORD
larks ^nns++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
bobolinks ^nns+++??+=bobolinks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
orioles ^nns+++??+=orioles
to ^in++++=to
answer ^nn++++=answer
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
great ^jj+atrb+++=great
big ^jj+atrb+++=big
elm ^nn++++=elm-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
overhead ^jjb++++=overhead
would ^md+prd+++=would
get ^vb++++=get
perfectly ^rb+amp+++=perfectly
rackety ^nn+++??+=rackety
with ^in++++=with
the ^ati++++=the
birds ^nns++++=birds;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=there
in ^in++++=in
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
git ^vb++++=git
to ^in++++=to
kind ^rb+hdg+++=kind
of ^+hdg"+++0=o'
dreamin ^nn+++??+=dreamin'
' ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
angels ^nns++++=angels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
golden ^jj+atrb+++=golden
harps ^nns+++??+=harps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
New ^jj+atrb+++=New
Jerusalem ^np++++=Jerusalem;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
jist ^nn++++=jist
like ^in++++=like
them ^pp3o+pp3+++=them
wood ^nn++++=wood-thrushes,
- ^zz++++=EXTRAWORD
thrushes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
never ^rb++++=never
could ^md+pos+++=could
sing ^vb++++=sing
so ^ql++++=so
well ^rb++++=well
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
folks ^nns++++=folks
was ^vbd+bedz+vrb++=was
hearin ^nn+++??+=hearin'.
'. ^nn+++??+=EXTRAWORD
Folks ^nns++++=Folks
noticed ^vbd+vprv++xvbn+=noticed,
, ^zz++++=EXTRAWORD
about ^in++++=about
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
sermons ^nns++++=sermons
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
be ^vbi++vrb++=be
like ^in++++=like
Aaron ^np++++=Aaron's
's ^$++++=EXTRAWORD
rod ^np++++=rod,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
budded ^vbd+++xvbn+=budded
and ^cc+phrs+++=and
blossomed ^vbd+++xvbn+=blossomed:
: ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
things ^nns++++=things
in ^in++++=in
them ^pp3o+pp3+++0='em
about ^in++++=about
flowers ^nns+nom+++=flowers
and ^cc++++=and
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
' ^zz++++='special
special ^jj++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
music ^nn++++=music
of ^in++++0=o'
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
ef ^nn+++??+=ef
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
hymn ^nn++++=hymn
run ^vbd+++xvbn+=run
in ^in++++=in
her ^pp$+pp3+++=her
head ^jjb++++=head
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
' ^zz++++='round
round ^in++++=EXTRAWORD
a ^at++++=a
workin ^nn+++??+=workin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
minister ^nn+nom+++=minister
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
give ^vbi++++=give
it ^pp3+it+++=it
out ^rp+pl+++=out
next ^ap++++=next
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
jist ^nn++++=jist
like ^in++++=like
a ^at++++=a
bee ^nn++++=bee:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
always ^rb++++=always
sung ^vbd+++xvbn+=sung
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
workin ^nn+++??+=workin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
you ^pp2+pp2+++=you
could ^md+pos+++=could
hear ^vb+vprv+++=hear
her ^pp$+pp3+++=her
trillin ^nn+++??+=trillin',
', ^nn+++??+=EXTRAWORD
now ^rn+tm+++=now
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
corn ^nn++++=corn-patch,
- ^zz++++=EXTRAWORD
patch ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
pickin ^nn+++??+=pickin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
corn ^nn++++=corn;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
in ^in++++=in
the ^ati++++=the
buttery ^np+nom+++=buttery,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
workin ^nn+++??+=workin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
butter ^nn++++=butter;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
go ^vb++++=go
singin ^nn+++??+=singin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
cellar ^nn++++=cellar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
singin ^nn+++??+=singin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
over ^in++++=over
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
fill ^vbi++++=fill
a ^at++++=a
house ^npl++++=house
chock ^nn+++??+=chock
full ^jj++++=full
of ^in++++0=o'
music ^nn++++=music.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
so ^cs+sub+++=so
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
chipper ^jj++++=chipper
and ^cc+phrs+++=and
fair ^jj++++=fair
spoken ^jj+++xvbn+=spoken,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
men ^nns++++=men
all ^rb++++=all
under ^in++++=under
her ^pp$+pp3+++=her
thumb ^nn++++=thumb:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
come ^vb++++=come
to ^in++++=to
her ^pp$+pp3+++=her
and ^cc++++=and
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
orders ^vbz++++=orders
jist ^nn++++=jist
as ^in++++=as
meek ^jj++++=meek
as ^ql++++=as
so ^cs+sub+++=so
many ^ap++++=many
calves ^nns++++=calves;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
traded ^vbd+++xvbnx+=traded
at ^in++++=at
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
the ^ati++++=the
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
hed ^vbd+++xvbnx+=hed
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tied ^vbd+++xvbn+=tied
up ^rp++++=up
all ^rb++++=all
the ^ati++++=the
ends ^nns++++=ends
so ^ql+emph+++=so
tight ^jj++++=tight
that ^dt+dem+++=that
there ^rn+pl+++=there
want ^nn++++=want
no ^at++++=no
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
' ^zz++++='round
round ^in++++=EXTRAWORD
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
nobody ^pn++++=nobody
put ^vbd+++xvbn+=put
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
on ^in++++=on
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
minister ^nn+nom+++=minister.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
allers ^nn++++=allers
up ^in+cmpx+++=up
to ^in"++++=to
anybody ^pn++++=anybody
that ^cs+sub+++=that
wanted ^vprf+++xvbn+=wanted
to ^to+vcmp+++=to
make ^vbi++++=make
a ^at++++=a
hard ^jj+atrb+++=hard
bargain ^nn++++=bargain;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
afore ^in++++=afore
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
jist ^nn++++=jist
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
best ^jjt+atrb+++=best
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everybody ^pn++++=everybody
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
capable ^jj+atrb+++=capable
gal ^nn++++=gal
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
ever ^rb++splt++=ever
traded ^vprf+++xvbnx+=traded
with ^in+strn+++=with.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
meetin ^nn+++??+=meetin'
' ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Association ^nn+nom+++=Association,
, ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deakin ^np+++??+=Deakin
Blodgett ^np+++??+=Blodgett
and ^cc++++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
come ^vb++++=come
callin ^nn+++??+=callin'
' ^zz++++=EXTRAWORD
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
parson ^nn++++=parson's,
's, ^nn+++??+=EXTRAWORD
all ^abn++++=all
in ^in++++=in
a ^at++++=a
stew ^nn+++??+=stew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offerin ^nn+++??+=offerin'
' ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
services ^nns++++=services
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
house ^nn++++=house
ready ^jj++++=ready;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
jist ^nn++++=jist
thanked ^vbd+++xvbn+=thanked
them ^pp3o+pp3+++0='em
quite ^rb++++=quite
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
them ^pp3o+pp3+++0='em
over ^in++++=over
to ^in++++=to
Huldy ^np+++??+=Huldy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
them ^pp3o+pp3+++0='em
that ^cs+sub+++=that
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
every ^at++++=every
thing ^nn++++=thing
ready ^jj++++=ready,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showed ^vbd+vprv++xvbn+=showed
them ^pp3o+pp3+++0='em
her ^pp$+pp3+++=her
pantries ^nns++++=pantries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
cakes ^nns++++=cakes
and ^cc++++=and
her ^pp$+pp3+++=her
pies ^nns++++=pies
and ^cc++++=and
her ^pp$+pp3+++=her
puddin ^nn+++??+=puddin's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
took ^vbd+++xvbn+=took
them ^pp3o+pp3+++0='em
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
house ^nn++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
peekin ^nn+++??+=peekin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
pokin ^nn+++??+=pokin',
', ^nn+++??+=EXTRAWORD
openin ^nn+++??+=openin'
' ^zz++++=EXTRAWORD
cupboard ^nn++++=cupboard-doors,
- ^zz++++=EXTRAWORD
doors ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
into ^in++++=into
drawers ^nns+nom+++=drawers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
thread ^nn++++=thread
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
from ^in++++=from
garret ^nn+++??+=garret
to ^in++++=to
cellar ^nn++++=cellar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
off ^in+pl+++=off
quite ^rb++++=quite
discontented ^jj++++=discontented.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
that ^tht+rel+obj++=that
the ^ati++++=the
women ^nns++++=women
set ^vbd+++xvbn+=set
a ^at++++=a
new ^jj+atrb+++=new
trouble ^nn++++=trouble
a ^at++++=a
brewin ^nn+++??+=brewin'.
'. ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
begun ^vbd+++xvbnx+=begun
to ^to++++=to
talk ^vbi++++=talk
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
year ^nn++++=year
now ^rn+tm+++=now
since ^cs+sub+++=since
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
died ^vbd+++xvbn+=died;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
r ^zz++++=r'ally
'ally ^rb++++0=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
proper ^jj++++=proper
such ^abl++++=such
a ^at++++=a
young ^jj+atrb+++=young
gal ^nn++++=gal
to ^to++++=to
be ^vbi++vrb++=be
stayin ^nn+++??+=stayin'
