( ^zz++++=(1855)In
verybrokenly ^jj++++=verybrokenly
delivered ^jj+++xvbn+=delivered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
substance ^nn+nom+++=substance
only ^rb+down+++=only
will ^md+prd+++=will
here ^rn+pl+++=here
be ^vb+be+aux++=be
set ^vpsv++agls+xvbnx+=set
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appeared ^vbd+seem++xvbn+=appeared
that ^tht+vcmp+++=that
after ^cs+sub+++=after
the ^ati++++=the
ship ^nn++++=ship
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
many ^ap++++=many
days ^nns++++=days
tossed ^vbd+++xvbn+=tossed
in ^in++++=in
storms ^nns++++=storms
offthe ^nn+++??+=offthe
Cape ^np++++=Cape,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scurvy ^nn+++??+=scurvy
broke ^vbd+++xvbn+=broke
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
off ^rb+phrv+++=off
numbers ^nns+nom+++=numbers
of ^in++++=of
the ^ati++++=the
whites ^nns++++=whites
andblacks ^nns+++??+=andblacks.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
at ^rb++++=at
last ^rb"++++=last
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
round ^rb++++=round
into ^in++++=into
the ^ati++++=the
Pacific ^jj++++=Pacific,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
sparsand ^nn+++??+=sparsand
sails ^nns++++=sails
were ^vbd+bed+aux++=were
so ^cs+sub+++=so
damaged ^vprf+++xvbn+=damaged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
inadequately ^rb++++=inadequately
handled ^vpsv++by+xvbn+=handled
by ^in++++=by
the ^ati++++=the
survivingmariners ^nns+nom+++=survivingmariners,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
whom ^whp+rel+pied++=whom
were ^vbd+bed+aux++=were
become ^vb++++=become
invalids ^nns++++=invalids,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
unable ^jj++++=unable
to ^to+jcmp+++=to
lay ^vbi++++=lay
hernortherly ^jj+atrb+++=hernortherly
course ^nn++++=course
by ^in++++=by
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
powerful ^jj+pred+++=powerful,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unmanageable ^jj+atrb+++=unmanageable
ship,for ^nn++++=ship,for
successive ^jj+atrb+++=successive
days ^nns++++=days
and ^cc++++=and
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
blown ^vpsv++agls+xvbnx+=blown
northwestward ^rb+cnj+++=northwestward,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
thebreeze ^nn+++??+=thebreeze
suddenly ^rb++++=suddenly
deserted ^vbd+++xvbn+=deserted
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^in++++=in
unknown ^jj+atrb+++=unknown
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
to ^in++++=to
sultry ^jj+atrb+++=sultry
calms ^nns++++=calms.
. ^zz++++=EXTRAWORD
Theabsence ^np+nom++??+=Theabsence
of ^in++++=of
the ^ati++++=the
water ^nn++++=water-pipes
- ^zz++++=EXTRAWORD
pipes ^nns++++=EXTRAWORD
now ^rn+tm+++=now
proved ^vbd+vprv++xvbn+=proved
as ^ql++++=as
fatal ^jj++++=fatal
to ^in++++=to
life ^nn++++=life
as ^ql++++=as
before ^cs+sub+++=before
theirpresence ^nn+nom+++=theirpresence
had ^vbd+hvd+aux++=had
menaced ^vprf+++xvbnx+=menaced
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Induced ^j+++xvbn+=Induced,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
aggravated ^vbd+++xvbn+=aggravated,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
morethan ^jj+atrb+++=morethan
scanty ^jj+atrb+++=scanty
allowance ^nn+nom+++=allowance
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
a ^at++++=a
malignant ^jj+atrb+++=malignant
fever ^nn++++=fever
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
scurvy;with ^nn+++??+=scurvy;with
the ^ati++++=the
excessive ^jj+atrb+++=excessive
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
lengthened ^jj+atrb++xvbn+=lengthened
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
such ^abl++++=such
short ^jj+atrb+++=short
workof ^nn+++??+=workof
it ^pp3+it+++=it
as ^in++++=as
to ^in++++=to
sweep ^nn++++=sweep
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
by ^in++++=by
billows ^nns+++??+=billows,
, ^zz++++=EXTRAWORD
whole ^jj+atrb+++=whole
families ^nns++++=families
of ^in++++=of
the ^ati++++=the
Africans,and ^np+++??+=Africans,and
a ^at++++=a
yet ^rb++++=yet
larger ^jjr+atrb+++=larger
number ^nn++++=number,
, ^zz++++=EXTRAWORD
proportionably ^jj++++=proportionably,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Spaniards ^nn++++=Spaniards,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
bya ^nn+++??+=bya
luckless ^jj+atrb+++=luckless
fatality ^nn+nom+++=fatality,
, ^zz++++=EXTRAWORD
every ^at++++=every
remaining ^jj+atrb++xvbg+=remaining
officer ^nn++++=officer
on ^in++++=on
board ^nn++++=board.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
inthe ^nn+++??+=inthe
smart ^jj+atrb+++=smart
west ^np+pl+++=west
winds ^nns++++=winds
eventually ^rb+tm+++=eventually
following ^vbg+++xvbg+=following
the ^ati++++=the
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
already ^rb++++=already
rentsails ^nns+++??+=rentsails,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
to ^to++++=to
be ^vbi+vbi+aux++=be
simply ^rb++splt++=simply
dropped ^vpsv++agls+xvbnx+=dropped,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
furled ^xvbn+++xvbn+=furled,
, ^zz++++=EXTRAWORD
at ^rb++++=at
need ^nn++++=need,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
beengradually ^rb++splt++=beengradually
reduced ^vprf+++xvbnx+=reduced
to ^in++++=to
the ^ati++++=the
beggars ^nns++++=beggars'
' ^zz++++=EXTRAWORD
rags ^nns++++=rags
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
To ^in++++=To
procuresubstitutes ^nns+++??+=procuresubstitutes
for ^in++++=for
his ^pp$+pp3+++=his
lost ^xvbn+++xvbn+=lost
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
supplies ^nns++++=supplies
of ^in++++=of
water ^nn++++=water
andsails ^nns+++??+=andsails,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
opportunity ^nn+nom+++=opportunity,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
for ^in+ppvb+++=for
Baldivia,the ^np+++??+=Baldivia,the
southernmost ^nn+++??+=southernmost
civilized ^jj+atrb+++=civilized
port ^nn++++=port
of ^in++++=of
Chili ^nn++++=Chili
and ^cc++++=and
South ^np+pl+++=South
America ^np++++=America;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
uponnearing ^nvbg+++xvbg+=uponnearing
the ^ati++++=the
coast ^nn++++=coast
the ^ati++++=the
thick ^jj+atrb+++=thick
weather ^nn++++=weather
had ^vbd+hvd+aux++=had
prevented ^vprf+++xvbnx+=prevented
him ^pp3o+pp3+++=him
from ^in++++=from
so ^ql++++=so
much ^ap++++=much
assighting ^jj+++xvbg+=assighting
that ^dt+dem+++=that
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
which ^whp+who+++=which
period ^nn++++=period,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
without ^in++++=without
a ^at++++=a
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
andalmost ^nn+++??+=andalmost
without ^in++++=without
canvas ^nn++++=canvas
and ^cc++++=and
almost ^rb+hdg+++=almost
without ^in++++=without
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
intervals ^nns+nom+++=intervals
givingits ^vbz+++??+=givingits
added ^vbd+vpub++xvbn+=added
dead ^jj++++=dead
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
the ^ati++++=the
San ^np++++=San
Dominick ^np+++??+=Dominick
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
battle ^nn++++=battle-dored
- ^zz++++=EXTRAWORD
dored ^jj+atrb++xvbn+=EXTRAWORD
aboutby ^nn+++??+=aboutby
contrary ^nn+nom+++=contrary
winds ^nns++++=winds,
, ^zz++++=EXTRAWORD
inveigled ^xvbn+++xvbn+=inveigled
by ^in++++=by
currents ^nns++++=currents,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
grown ^vbd+++xvbn+=grown
weedy ^jj++++=weedy
in ^in++++=in
calms ^nn++++=calms.
. ^zz++++=EXTRAWORD
Likea ^np+++??+=Likea
man ^nn++++=man
lost ^vbd+++xvbn+=lost
in ^in++++=in
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
once ^rb+tm+++=once
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
doubled ^vprf+++xvbnx+=doubled
upon ^in++++=upon
her ^pp$+pp3+++=her
own ^ap++++=own
track ^nn++++=track.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
throughout ^in++++=throughout
these ^dt+dem+++=these
calamities ^nns+nom+++=calamities,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
huskily ^rb++++=huskily
continued ^vbd+++xvbn+=continued
Don ^npt++++=Don
Benito,painfully ^np+++??+=Benito,painfully
turning ^vwbg+++xvbg+=turning
in ^in++++=in
the ^ati++++=the
half ^nn++++=half
embrace ^vb++++=embrace
of ^in++++=of
his ^pp$+pp3+++=his
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in++++=to
thankthose ^nn+++??+=thankthose
negroes ^nns+++??+=negroes
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
to ^in++++=to
your ^pp$+pp2+++=your
inexperienced ^jj+atrb+++=inexperienced
eyes ^nns++++=eyes
appearingunruly ^rb+cnj+++=appearingunruly,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
themselves ^ppls+pp3+++=themselves
with ^in++++=with
less ^rbr++++=less
of ^in++++=of
restlessnessthan ^jj++++=restlessnessthan
even ^rb++++=even
their ^pp$+pp3+++=their
owner ^nn++++=owner
could ^md+pos+++=could
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
possible ^jj++++=possible
under ^in++++=under
suchcircumstances ^nns+nom++??+=suchcircumstances."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
again ^rb+tm+++=again
fell ^vbd+++xvbn+=fell
faintly ^rb++++=faintly
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
his ^pp$+pp3+++=his
mind ^nn++++=mind
wandered ^vbd+++xvbn+=wandered;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
herallied ^jj+++xvbn+=herallied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
less ^rbr++++=less
obscurely ^rb++++=obscurely
proceeded ^vbd+++xvbn+=proceeded.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
owner ^nn++++=owner
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
right ^jj+pred+++=right
in ^in++++=in
assuring ^xvbg+++xvbg+=assuring
me ^pp1o+pp1+++=me
that ^dt+dem+++=that
no ^at++++=no
fetters ^nns+nom+++=fetters
wouldbe ^vb+++??+=wouldbe
needed ^vbd+++xvbn+=needed
with ^in++++=with
his ^pp$+pp3+++=his
blacks ^nns++++=blacks;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
wont ^nn++++=wont
in ^in++++=in
thistransportation ^nn+nom+++=thistransportation,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
negroes ^nns+++??+=negroes
have ^vb+hv+aux++=have
always ^rb++splt++=always
remained ^vprf+++xvbnx+=remained
upon ^in++++=upon
deck ^nn++++=deck--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
thrustbelow ^nn+++??+=thrustbelow,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
the ^ati++++=the
Guinea-men ^np+++??+=Guinea-men--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
beenfreely ^jj++++=beenfreely
permitted ^vb+++xvbn+=permitted
to ^to+vcmp+++=to
range ^vb++++=range
within ^in++++=within
given ^vbn+v++xvbn+=given
bounds ^nns++++=bounds
at ^in++++=at
their ^pp$+pp3+++=their
pleasure ^nn++++=pleasure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^rbr++++=more
the ^ati++++=the
faintness ^nns+nom+++=faintness
returned ^vbd+++xvbn+=returned--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
mind ^nn++++=mind
roved ^vbd+++xvbn+=roved--but,
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
, ^zz++++=EXTRAWORD
recovering ^vbg+++xvbg+=recovering,
, ^zz++++=EXTRAWORD
heresumed ^j+++xvbn+=heresumed:
: ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
Babo ^np+++??+=Babo
here ^rn+pl+++=here
to ^to++++=to
whom ^whp+wpor+++=whom,
, ^zz++++=EXTRAWORD
under ^in++++=under
God ^np++++=God,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
owe ^vb++++=owe
not ^xnot++not++=not
only ^rb+down+++=only
my ^pp$+pp1+++=my
ownpreservation ^nn+nom+++=ownpreservation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
likewise ^rb+cnj+++=likewise
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
chiefly ^rb+cnj+++=chiefly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
merit ^nn++++=merit
is ^vbz+bez+vrb++=is
due ^jj+pred+++=due,
, ^zz++++=EXTRAWORD
ofpacifying ^jj+++xvbg+=ofpacifying
his ^pp$+pp3+++=his
more ^rbr++++=more
ignorant ^jj+atrb+++=ignorant
brethren ^nns++++=brethren,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
at ^in++++=at
intervals ^nns+nom+++=intervals
tempted ^vwbn+++xvbn+=tempted
tomurmurings ^nns+++??+=tomurmurings."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
master ^nn++++=master,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sighed ^vbd+++xvbn+=sighed
the ^ati++++=the
black ^nn++++=black,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
" ^zz++++="don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
of ^in++++=of
me;babo ^nn+++??+=me;Babo
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
what ^wdt+who+++=what
Babo ^np+++??+=Babo
has ^vbz+hvz+aux++=has
done ^vprf+++xvbnx+=done
was ^vbd+bedz+vrb++=was
but ^cc++++=but
duty ^nn++++=duty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Faithful
faithful ^jj++++=EXTRAWORD
fellow ^jjb++++=fellow!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Captain ^npt++++=Captain
Delano ^np+++??+=Delano.
. ^zz++++=EXTRAWORD
" ^zz++++="Don
don ^npt++++=EXTRAWORD
Benito ^np+++??+=Benito,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
envy ^vb++++=envy
you ^pp2+pp2+++=you
such ^abl++++=such
afriend ^nn+++??+=afriend;
; ^zz++++=EXTRAWORD
slave ^nn++++=slave
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
call ^vb++++=call
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
master ^npt++++=master
and ^cc++++=and
man ^nn++++=man
stood ^vbd+++xvbn+=stood
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
black ^jj++++=black
upholding ^jj+++xvbg+=upholding
the ^ati++++=the
white,captain ^nn+++??+=white,Captain
Delano ^np+++??+=Delano
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
bethink ^nn+++??+=bethink
him ^pp3o+pp3+++=him
of ^in++++=of
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
thatrelationship ^nn+nom+++=thatrelationship
which ^whp+rel+subj++=which
could ^md+pos+++=could
present ^vb++++=present
such ^abl++++=such
a ^at++++=a
spectacle ^nn++++=spectacle
of ^in++++=of
fidelity ^nn+nom+++=fidelity
on ^in++++=on
the ^ati++++=the
onehand ^nn+++??+=onehand
and ^cc++++=and
confidence ^nn+nom+++=confidence
on ^in++++=on
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scene ^nn++++=scene
was ^vbd+bedz+aux++=was
heightened ^vpsv++by+xvbnx+=heightened
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
thecontrast ^nn+++??+=thecontrast
in ^in++++=in
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
denoting ^vbg+++xvbg+=denoting
their ^pp$+pp3+++=their
relative ^jj+atrb+++=relative
positions ^nns+nom+++=positions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Spaniard ^np+++??+=Spaniard
worea ^nn+++??+=worea
loose ^jj+atrb+++=loose
Chili ^nn++++=Chili
jacket ^nn++++=jacket
of ^in++++=of
dark ^jj+atrb+++=dark
velvet ^nn++++=velvet;
; ^zz++++=EXTRAWORD
white ^jj++++=white
small ^jj++++=small-clothes
- ^zz++++=EXTRAWORD
clothes ^nns++++=EXTRAWORD
and ^cc++++=and
stockings,with ^nn+++??+=stockings,with
silver ^nn++++=silver
buckles ^nns++++=buckles
at ^in++++=at
the ^ati++++=the
knee ^nn++++=knee
and ^cc++++=and
instep ^nn+++??+=instep;
; ^zz++++=EXTRAWORD
a ^at++++=a
high ^jj++++=high-crowned
- ^zz++++=EXTRAWORD
crowned ^vprf+++xvbn+=EXTRAWORD
sombrero ^nn++++=sombrero,
, ^zz++++=EXTRAWORD
offine ^nn+++??+=offine
grass ^nn++++=grass;
; ^zz++++=EXTRAWORD
a ^at++++=a
slender ^jj+atrb+++=slender
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
silver ^jj++++=silver
mounted ^jj+++xvbn+=mounted,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
from ^in++++=from
a ^at++++=a
knot ^nn++++=knot
in ^in++++=in
hissash ^nn+++??+=hissash--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
last ^rb++++=last
being ^vbg+beg++xvbg+=being
an ^at++++=an
almost ^rb+hdg+++=almost
invariable ^jj+atrb+++=invariable
adjunct ^nn++++=adjunct,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
for ^in++++=for
utility ^nn+nom+++=utility
thanornament ^nn+nom+++=thanornament,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
South ^nr+pl+++=South
American ^jj+atrb+++=American
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
to ^in++++=to
this ^dt+dem+++=this
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Exceptingwhen ^np+++??+=Exceptingwhen
his ^pp$+pp3+++=his
occasional ^jj+atrb+++=occasional
nervous ^jj+atrb+++=nervous
contortions ^nns+nom+++=contortions
brought ^vbd+++xvbn+=brought
about ^rb+phrv+++=about
disarray ^nn++++=disarray,
, ^zz++++=EXTRAWORD
therewas ^nns+++??+=therewas
a ^at++++=a
certain ^jj+atrb+++=certain
precision ^nn++++=precision
in ^in++++=in
his ^pp$+pp3+++=his
attire ^nn++++=attire
curiously ^rb++++=curiously
at ^in++++=at
variance ^nn+nom+++=variance
with ^in"++++=with
theunsightly ^jj+atrb+++=theunsightly
disorder ^nn+nom+++=disorder
around ^in+strn+++=around;
; ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
the ^ati++++=the
belittered ^jj+atrb++xvbn+=belittered
Ghetto ^nn++++=Ghetto,
, ^zz++++=EXTRAWORD
forwardof ^nn+++??+=forwardof
the ^ati++++=the
main ^jjb++++=main-mast,
- ^zz++++=EXTRAWORD
mast ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
wholly ^rb++++=wholly
occupied ^vpsv++by+xvbn+=occupied
by ^in++++=by
the ^ati++++=the
blacks ^nns++++=blacks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
servant ^nn+nom+++=servant
wore ^vbd+++xvbn+=wore
nothing ^pn++++=nothing
but ^cc++++=but
wide ^jj+atrb+++=wide
trowsers ^nns+nom+++=trowsers,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
from ^in++++=from
theircoarseness ^nns+nom+++=theircoarseness
and ^cc++++=and
patches ^nns++++=patches,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
out ^rp+pl+++=out
of ^in++++=of
some ^dti++++=some
old ^jj+atrb+++=old
topsail ^nn+++??+=topsail;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
clean,and ^jj+++??+=clean,and
confined ^jj+++xvbn+=confined
at ^rb++++=at
the ^ati++++=the
waist ^nn++++=waist
by ^in++++=by
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
unstranded ^jj+atrb++xvbn+=unstranded
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
with ^in++++=with
hiscomposed ^jj+++xvbn+=hiscomposed,
, ^zz++++=EXTRAWORD
deprecatory ^nn++++=deprecatory
air ^nn++++=air
at ^rb++++=at
times ^nns++++=times,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
him ^pp3o+pp3+++=him
look ^vb++++=look
something ^pn++++=something
like ^in++++=like
abegging ^xvbg+++xvbg+=abegging
friar ^nn+++??+=friar
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Francis ^np++++=Francis.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
unsuitable ^jj++++=unsuitable
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
place ^nn++++=place,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
in ^in++++=in
theblunt ^jj+++xvbn+=theblunt-thinking
- ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=EXTRAWORD
American ^np+nom+++=American's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
however ^rb+cnj+++=however
strangely ^rb++++=strangely
surviving ^jj+++xvbg+=surviving
in ^in++++=in
themidst ^nn+++??+=themidst
of ^in++++=of
all ^abn++++=all
his ^pp$+pp3+++=his
afflictions ^nns+nom+++=afflictions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
toilette ^nn+nom+++=toilette
of ^in++++=of
Don ^np++++=Don
Benito ^np+++??+=Benito
might ^md+pos+++=might
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
infashion ^nn+++??+=infashion
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
beyond ^in++++=beyond
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
among ^in++++=among
Southamericans ^nns+nom++??+=SouthAmericans
of ^in++++=of
his ^pp$+pp3+++=his
class ^nn++++=class.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
on ^in++++=on
the ^ati++++=the
present ^jj+atrb+++=present
voyage ^nn++++=voyage
sailing ^vwbg+++xvbg+=sailing
from ^in++++=from
Buenosayres ^np+++??+=BuenosAyres,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
avowed ^jj++++=avowed
himself ^ppl+pp3+++=himself
a ^at++++=a
native ^nn++++=native
and ^cc++++=and
resident ^nn++++=resident
of ^in++++=of
Chili ^nn++++=Chili,
, ^zz++++=EXTRAWORD
whoseinhabitants ^nns+nom+++=whoseinhabitants
had ^vb+hv+vrb++=had
not ^xnot++not++=not
so ^rb++++=so
generally ^rb+down+++=generally
adopted ^vbd+++xvbn+=adopted
the ^ati++++=the
plain ^jj+atrb+++=plain
coat ^nn++++=coat
and ^cc++++=and
onceplebeian ^jj+atrb+++=onceplebeian
pantaloons ^nns++++=pantaloons;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
becoming ^jj+atrb++xvbg+=becoming
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
adhered ^xvbn+++xvbn+=adhered
