Superstitious ^jj+atrb+++=Superstitious
the ^ati++++=the
bedclothes ^nns++++=bedclothes
so ^rb+emph+++=so
quick ^jj++++=quick
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++=them
with ^in++++=with
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Don't
' ^zz++++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
' ^zz++++='He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
shining ^vbg+++xvbgx+=shining
worse ^jjr++++=worse
than ^in++++=than
ever ^rb++++=ever.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
blankets ^nns++++=blankets
came ^vbd+++xvbn+=came
a ^at++++=a
sound ^nn++++=sound
like ^in++++=like
a ^at++++=a
mouse ^nn++++=mouse
asking ^vwbg+vsua++xvbg+=asking
for ^in++++=for
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
listened ^vbd+++xvbn+=listened
to ^in++++=to
the ^ati++++=the
empty ^jj+atrb+++=empty
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wot's
' ^zz++++=EXTRAWORD
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
money ^nn++++=money
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost?
? ^zz++++=EXTRAWORD
Jane ^np++++=Jane
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
is ^vbz+bez+aux++=is
starving ^vbg+++xvbgx+=starving?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
groaned ^vbd+++xvbn+=groaned.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
' ^zz++++='Bill
bill ^nn++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it
on ^in++++=on
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
point ^nn++++=point
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
put ^vprf+++xvbn+=put
that ^dt+dem+++=that
chain ^nn++++=chain
down ^in++++=down
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
damage ^vb++++=damage
the ^ati++++=the
floor ^nn++++=floor.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Ask
' ^zz++++=EXTRAWORD
ask ^vb++++=EXTRAWORD
' ^zz++++='im
im ^&fw++++=EXTRAWORD
wot ^wpr++++=wot
he ^pp3a+pp3+++=he
wants ^vbz++++=wants,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
whispers ^nns+nom+++=whispers
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wot
' ^zz++++=EXTRAWORD
wot ^wpr++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
nodded ^vbd+++xvbnx+=nodded
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
trust ^vb+vprv+++=trust
the ^ati++++=the
post ^nn++++=post
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
want ^vb++++=want
the ^ati++++=the
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings
given ^vwbn+++xvbn+=given
to ^in++++=to
me ^pp1o+pp1+++=me
every ^at++++=every
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
it ^pp3+it+++=it
to ^in++++=to
Jane ^np++++=Jane
personal ^jj++++=personal.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'That's
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
hidden ^jj+++xvbn+=hidden.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
held ^vbd+vprv++xvbn+=held
up ^rp++++=up
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="'Hush!
' ^zz++++=EXTRAWORD
hush ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
angry ^jj++++=angry.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
Saturday ^nr++++=Saturday
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
never ^rb++++=never
trouble ^nn++++=trouble
Bill ^nn++++=Bill
again ^rb+tm+++=again?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
ses ^nns+++??+=ses
he ^pp3a+pp3+++=he
wo ^&fw++++=won't,'
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
blankets ^nns++++=blankets.
. ^zz++++=EXTRAWORD
' ^zz++++='He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
now ^rn+tm+++=now.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she
drew ^vbd+++xvbnx+=drew
a ^at++++=a
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
lonely ^jj+atrb+++=lonely
groan ^nn++++=groan.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
quite ^abl++++=quite
so ^ql+emph+++=so
good ^jj++++=good
as ^ql++++=as
Silas ^np+++??+=Silas's,
's, ^nn+++??+=EXTRAWORD
but ^cc++++=but
Bill ^nn++++=Bill
was ^vbd+bedz+vrb++=was
in ^in++++=in
no ^at++++=no
condition ^nn+nom+++=condition
to ^to++++=to
judge ^vbi++++=judge.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
crept ^vbd+++xvbnx+=crept
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
shut ^j+++xvbn+=shut
it ^pp3+it+++=it
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="'He's
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
put ^vbd+++xvbn+=put
one ^cd1++++=one
eye ^nn++++=eye
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="'Did
' ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
look ^vb++++=look
bad ^jj++++=bad?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'Terrible,'
' ^zz++++=EXTRAWORD
terrible ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
seaweed ^nn++++=seaweed
all ^abn++++=all
over ^in++++=over
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cabin ^nn++++=cabin-boy
- ^zz++++=EXTRAWORD
boy ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
back ^jjb+pred+++=back
on ^in++++=on
his ^pp$+pp3+++=his
leg ^nn++++=leg.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
that ^dt+dem+++=that
week ^nn++++=week
onward ^jjb+atrb+++=onward
Bill ^nn++++=Bill
gave ^vbd+++xvbn+=gave
the ^ati++++=the
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
every ^at++++=every
Saturday ^nr++++=Saturday
morning ^nn++++=morning
to ^to++++=to
deliver ^vbi++++=deliver
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
always ^rb++++=always
took ^vbd+++xvbn+=took
a ^at++++=a
large ^jj++++=large
shopping ^jj+++xvbg+=shopping-bag,
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
appearances ^nns+nom+++=appearances
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
stayed ^vbd+++xvbnx+=stayed
away ^rp+pl+++=away
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
imaginary ^jj+atrb+++=imaginary
widow ^nn++++=widow
and ^cc++++=and
come ^vb++++=come
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
never ^rb++++=never
drank ^vbd+++xvbn+=drank
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remained ^vbd+++xvbnx+=remained
sober ^jj++++=sober,
, ^zz++++=EXTRAWORD
respectable ^jj++++=respectable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frightened ^jj+++xvbn+=frightened,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
as ^ql++++=as
good ^jj++++=good
a ^at++++=a
combination ^nn+nom+++=combination
as ^ql++++=as
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
in ^in++++=in
a ^at++++=a
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
kept ^vbd+++xvbn+=kept
out ^rb+phrv+++=out
of ^in++++=of
his ^pp$+pp3+++=his
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
never ^rb++++=never
told ^vbd+vpub++xvbn+=told
either ^dtx++++=either
of ^in++++=of
them ^pp3o+pp3+++0='em
more ^ql++++=more
than ^cs+sub+++=than
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
concluded ^vbd+vprv++xvbn+=concluded
the ^ati++++=the
night ^nn++++=night-watchman,
- ^zz++++=EXTRAWORD
watchman ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
black ^jj+atrb+++=black
cat ^nn++++=cat
rubbed ^vbd+++xvbn+=rubbed
itself ^ppl++++=itself
against ^in++++=against
his ^pp$+pp3+++=his
boot ^nn++++=boot
and ^cc++++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
start ^nn++++=start,
, ^zz++++=EXTRAWORD
" ^zz++++="shows
shows ^vbz+vprv+++=EXTRAWORD
you ^pp2+pp2+++=you
that ^dt+dem+++=that
superstition ^nn+nom+++=superstition
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
always ^rb++++=always
a ^at++++=a
bad ^jj+atrb+++=bad
thing ^nn++++=thing
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
handled ^vpsv++by+xvbnx+=handled
by ^in++++=by
somebody ^pn++++=somebody
with ^in++++=with
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
got ^vbd+++xvbn+=got
his ^pp$+pp3+++=his
health ^nn++++=health,
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
got ^vbd+++xvbn+=got
several ^ap++++=several
weeks ^nns++++=weeks
at ^in++++=at
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
got ^vbd+++xvbn+=got
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
spent ^vbd+++xvbnx+=spent
most ^ql+emph+++=most
of ^in++++=of
it ^pp3+it+++=it
on ^in++++=on
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
time ^nn++++=time
Bill ^nn++++=Bill
saw ^vbd+vprv+tht0+xvbn+=saw
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
hat ^nn++++=hat
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
wonderful ^jj+pred+++=wonderful
how ^wrb+who+++=how
far ^rb+pl+++=far
a ^at++++=a
careful ^jj+atrb+++=careful
woman ^nn++++=woman
could ^md+pos+++=could
make ^vb++++=make
money ^nn++++=money
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
