Disgrace ^np+++??+=Disgrace
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Terrill ^np++++=Terrill
could ^md+pos+++=could
imitate ^nn+nom+++=imitate
my ^pp$+pp1+++=my
hand ^nn++++=hand."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
could ^md+pos+++=could
also ^rb++splt++=also
fly ^vb++++=fly
over ^in++++=over
the ^ati++++=the
courthouse ^nn+++??+=courthouse
if ^cs+cnd+++=if
ye ^pp2+pp2+++=ye
put ^vbd+++xvbn+=put
feathers ^nns+nom+++=feathers
in ^in++++=in
his ^pp$+pp3+++=his
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
took ^vbd+++xvbn+=took
the ^ati++++=the
sheet ^nn++++=sheet.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Different ^jj+atrb+++=Different
ink ^nn++++=ink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
entries ^nns++++=entries
fade ^vb++++=fade,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
sideways ^jjb++++=sideways,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
reached ^vbd+++xvbn+=reached
for ^in++++=for
the ^ati++++=the
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
riffled ^vbd+++xvbnx+=riffled
the ^ati++++=the
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
muttering ^vbg+++xvbg+=muttering
dates ^nns++++=dates.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
" ^zz++++="Here.
here ^rn+pl+++=EXTRAWORD
. ^zz++++=EXTRAWORD
March ^nr++++=March
twenty ^cd++++=twenty-seventh.
- ^zz++++=EXTRAWORD
seventh ^od++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
stayed ^vbd+++xvbn+=stayed
late ^jj++++=late
that ^dt+dem+++=that
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
completing ^vbg+++xvbgx+=completing
my ^pp$+pp1+++=my
duties ^nns++++=duties."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Ted ^np++++=Ted
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
Dugan ^np++++=Dugan's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
jabbed ^vbd+++xvbn+=jabbed
a ^at++++=a
finger ^nn++++=finger
at ^in++++=at
the ^ati++++=the
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
left ^vbd+++xvbn+=left
your ^pp$+pp2+++=your
pen ^nn++++=pen
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
Ted ^np++++=Ted?
? ^zz++++=EXTRAWORD
The ^ati++++=The
green ^nn++++=green
fountain ^npl++++=fountain
pen ^nn++++=pen
your ^pp$+pp2+++=your
mother ^nn++++=mother
gave ^vbd+++xvbn+=gave
ye ^pp2+pp2+++=ye."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
false ^jj+atrb+++=false
entries ^nns++++=entries
are ^vb+ber+vrb++=are
in ^in++++=in
green ^jj+atrb+++=green
ink ^nn++++=ink."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
breast ^nn++++=breast
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
pen ^nn++++=pen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
lost ^vbd+++xvbnx+=lost
it ^pp3+it+++=it
that ^dt+dem+++=that
week ^nn++++=week."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
took ^vbd+++xvbn+=took
a ^at++++=a
step ^vb++++=step
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
advanced ^vbd+++xvbn+=advanced
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Lost
lost ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
did ^vbd+dod+vrb++=did
Miss ^npt++++=Miss
Imported ^np++++=Imported-in-Effect
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
effect ^nn++++=EXTRAWORD
borrow ^vb++++=borrow
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
changed ^vbd+++xvbnx+=changed
the ^ati++++=the
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
duplicate ^nn+nom+++=duplicate
sheets ^nns++++=sheets
to ^to++++=to
show ^vbi+vprv+tht0++=show
the ^ati++++=the
money ^nn++++=money
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
the ^ati++++=the
cash ^nn++++=cash
out ^rp+pl+++=out
in ^cs+sub+++=in
that ^cs"++++=that
yellow ^jj+atrb+++=yellow
plush ^jj+atrb+++=plush
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
room ^nn++++=room
enough ^dt++++=enough
for ^in++++=for
a ^at++++=a
brass ^nn++++=brass
band ^nn++++=band."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
prove ^vb+vprv+++=prove
" ^zz++++="
" ^zz++++="Open
open ^jj++++=EXTRAWORD
your ^pp$+pp2+++=your
purse ^nn++++=purse,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
clutched ^vbd+++xvbn+=clutched
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
open ^jj++++=open
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
whispered ^vbd+++xvbn+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="Minnie?"
minnie ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo's
's ^$++++=EXTRAWORD
tone ^nn++++=tone
softened ^vbd+++xvbn+=softened,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
call ^vb++++=call
Sheriff ^npt++++=Sheriff
Deane ^np++++=Deane.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
enjoys ^vbz++++=enjoys
opening ^jj+atrb++xvbg+=opening
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
instant ^nn+nom+++=instant
her ^pp3o+pp3+++=her
thin ^jj+atrb+++=thin
face ^nn++++=face
showed ^vbd+vprv++xvbn+=showed
naked ^jj+atrb+++=naked
resentment ^nn+nom+++=resentment.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
right ^nn++++=right
to ^to+ncmp+++=to
come ^vbi++++=come
back ^jjb++++=back,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
" ^zz++++="Everyone
everyone ^pn++++=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Haley ^np++++=Haley
put ^vbd+++xvbn+=put
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
anything ^pn++++=anything
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing
if ^cs+cnd+++=if
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
questions ^nns+nom+++=questions
they ^pp3a+pp3+++=they
would ^md+prd+++=would
believe ^vb+vprv+++=believe
" ^zz++++="
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=would
believe ^vb+vprv+++=believe
Ted ^np++++=Ted,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
finished ^vbd+++xvbn+=finished
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
of ^in++++=of
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
hung ^vbd+++xvbn+=hung
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
like ^in++++=like
a ^at++++=a
noose ^nn+++??+=noose.
. ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
heavily ^rb++++=heavily.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
began ^vbd+++xvbn+=began
to ^to++++=to
cry ^vbi++++=cry
not ^xnot++not++=not
beautifully ^rb+cnj+++=beautifully,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
with ^in++++=with
shining ^xvbg+++xvbg+=shining
tears ^nns++++=tears
and ^cc++++=and
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
lip ^nn++++=lip,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
snorts ^nns+++??+=snorts,
, ^zz++++=EXTRAWORD
blotches ^nns++++=blotches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fury ^nn++++=fury.
. ^zz++++=EXTRAWORD
Real ^jj+atrb+++=Real
crying ^nvbg+++xvbg+=crying
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
on ^in++++=on
the ^ati++++=the
complexion ^nn++++=complexion
and ^cc++++=and
good ^jj++++=good
for ^in++++=for
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
two ^cd++++=two
hundred ^cd++++=hundred
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
confessed ^vbd+vpub++xvbnx+=confessed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
three ^cd++++=three.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
expected ^vbd+vprv++xvbnx+=expected
wedding ^nn++++=wedding
gifts ^nns++++=gifts
of ^in++++=of
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Elmer ^np++++=Elmer's
's ^$++++=EXTRAWORD
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
them ^pp3o+pp3+++=them
five ^cd++++=five
hundred ^cd++++=hundred
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
invested ^vprf+++xvbnx+=invested
instead ^rb+cnj+++=instead
in ^in++++=in
a ^at++++=a
patent ^nn++++=patent
chicken ^nn++++=chicken-waterer
- ^zz++++=EXTRAWORD
waterer ^jjr++++=EXTRAWORD
and ^cc+phrs+++=and
produced ^jj+++xvbn+=produced
neither ^dt++neg++=neither
money ^nn++++=money
nor ^cc++neg++=nor
wet ^jj+atrb+++=wet
chickens ^nns++++=chickens.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bills ^nns++++=bills
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
took ^vbd+++xvbn+=took
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Ted ^np++++=Ted
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
frightened ^j+++xvbn+=frightened
and ^cc+phrs+++=and
branded ^jj++++=branded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
solution ^nn+nom+++=solution
presented ^vwbn+++xvbn+=presented
itself ^ppl++++=itself
dressed ^vbd+++xvbn+=dressed
and ^cc++++=and
ready ^jj++++=ready.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
replace ^vbi++++=replace
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
flinched ^vbd+++xvbn+=flinched
at ^in++++=at
the ^ati++++=the
old ^jj+atrb+++=old
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
heard ^vbd+vprv+tht0+xvbn+=heard
it ^pp3+it+++=it
too ^rb++++=too.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
generally ^rb+down+++=generally
the ^ati++++=the
first ^od++++=first
thing ^nn++++=thing
stolen ^vbd+++xvbn+=stolen
money ^nn++++=money
buys ^vbz++++=buys
a ^at++++=a
good ^jj+atrb+++=good
intention ^nn+nom+++=intention."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
had ^vbd+hvd+aux++=had
forged ^vprf+++xvbnx+=forged
the ^ati++++=the
duplicate ^nn++++=duplicate
records ^vbz+vpub+++=records,
, ^zz++++=EXTRAWORD
altered ^xvbn+++xvbn+=altered
the ^ati++++=the
ledger ^np++++=ledger
with ^in++++=with
Ted ^np++++=Ted's
's ^$++++=EXTRAWORD
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hidden ^jj+++xvbn+=hidden
the ^ati++++=the
original ^jj+atrb+++=original
cash ^nn++++=cash
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
only ^rb+down+++=only
because ^cs+cos+++=because
Jo ^np++++=Jo's
's ^$++++=EXTRAWORD
monthly ^jj+atrb+++=monthly
audit ^nn+++??+=audit
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching
and ^cc++++=and
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
the ^ati++++=the
discovery ^nn+nom+++=discovery
to ^to++++=to
occur ^vbi++++=occur
under ^in++++=under
her ^pp$+pp3+++=her
supervision ^nn++++=supervision.
. ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
covered ^vbd+++xvbn+=covered
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
some ^dti++++=some
pity ^nn++++=pity.
. ^zz++++=EXTRAWORD
" ^zz++++="Cheer
cheer ^nn++++=EXTRAWORD
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corset ^nn+++??+=corset's
's ^$++++=EXTRAWORD
paid ^vpsv++agls+xvbnx+=paid
for ^in+strn+++=for."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
telephoned ^vbd+vpub++xvbn+=telephoned
the ^ati++++=the
sheriff ^nn++++=sheriff.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
sat ^vbd+++xvbn+=sat
at ^in++++=at
the ^ati++++=the
desk ^nn++++=desk
while ^cs+sub+++=while
the ^ati++++=the
lobby ^nn++++=lobby
filled ^vbd+++xvbn+=filled,
, ^zz++++=EXTRAWORD
emptied ^xvbn+++xvbn+=emptied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
filled ^vbd+++xvbn+=filled
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
News ^nn++++=News
now ^rn+tm+++=now
galloped ^vbd+++xvbn+=galloped
in ^in++++=in
the ^ati++++=the
opposite ^jj+atrb+++=opposite
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
mouths ^nns++++=mouths
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
condemned ^vprf+++xvbnx+=condemned
him ^pp3o+pp3+++=him
began ^vbd+++xvbn+=began
revising ^vbg+++xvbg+=revising
their ^pp$+pp3+++=their
memories ^nns++++=memories.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
believed ^vbd+vprv+tht0+xvbn+=believed
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
bellboy ^nn+++??+=bellboy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
believed ^vprf+++xvbnx+=believed
it ^pp3+it+++=it
first ^rb++++=first.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
my ^pp$+pp1+++=my
wife ^nn++++=wife
there ^ex+pex+++=there
must ^md+nec+++=must
be ^vb+be+vrb++=be
some ^dti++++=some
mistake ^nn++++=mistake,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
hardware ^nn++++=hardware
merchant ^nn+nom+++=merchant
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
his ^pp$+pp3+++=his
wife ^nn++++=wife
Ted ^np++++=Ted
would ^md+prd+++=would
hang ^vb++++=hang.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby
telephoned ^vbd+vpub++xvbn+=telephoned
again ^rb+tm+++=again
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
Thursday ^nr++++=Thursday
Culture ^nn++++=Culture
Circle ^nn++++=Circle
had ^vb+hv+aux++=had
always ^rb++splt++=always
favored ^vprf+++xvbnx+=favored
rehabilitation ^nn+nom+++=rehabilitation
in ^in++++=in
principle ^nn++++=principle.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
Ted ^np++++=Ted
could ^md+pos+++=could
not ^xnot++not++=not
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
telephone ^nn++++=telephone
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
busy ^jj+pred+++=busy
being ^xvbg+++xvbg+=being
rehabilitated ^vbd+++xvbn+=rehabilitated
in ^in++++=in
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
By ^in++++=By
late ^jj+atrb+++=late
afternoon ^nn++++=afternoon
Minnie ^np+++??+=Minnie
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
with ^in++++=with
the ^ati++++=the
sheriff ^nn++++=sheriff,
, ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
after ^in++++=after
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
yellow ^jj+atrb+++=yellow
plush ^jj+atrb+++=plush
hat ^nn++++=hat
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
nowhere ^rb+cnj+++=nowhere,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
left ^vpsv++agls+xvbnx+=left
on ^in++++=on
a ^at++++=a
lobby ^nn++++=lobby
chair ^nn++++=chair
in ^in++++=in
the ^ati++++=the
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
put ^vbd+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
lost ^vbd+++xvbn+=lost-and-found
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
found ^vbd+vprv++xvbn+=EXTRAWORD
closet ^nn++++=closet,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
frightened ^vbd+++xvbn+=frightened
an ^at++++=an
umbrella ^nn++++=umbrella.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
checked ^vwbn+++xvbn+=checked
the ^ati++++=the
accounts ^nns++++=accounts
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
missing ^jj+atrb++xvbg+=missing
sum ^nn++++=sum
was ^vbd+bedz+aux++=was
covered ^vpsv++by+xvbnx+=covered
by ^in++++=by
Minnie ^np++++=Minnie's
's ^$++++=EXTRAWORD
confession ^nn++++=confession
and ^cc++++=and
the ^ati++++=the
goods ^nns++++=goods
she ^pp3a+pp3+++=she
agreed ^vbd+vpub++xvbnx+=agreed
to ^in++++=to
surrender ^nn+nom+++=surrender.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
balanced ^vbd+++xvbn+=balanced.
. ^zz++++=EXTRAWORD
Figures ^nns++++=Figures
are ^vb+ber+vrb++=are
cold ^jj+atrb+++=cold
company ^nn++++=company,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
evening ^nn++++=evening
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
kinder ^jjr+pred+++=kinder
than ^in++++=than
people ^nns++++=people.
. ^zz++++=EXTRAWORD
At ^rb++++=At
six ^cd++++=six,
, ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
office ^nn++++=office
wearing ^vwbg+++xvbg+=wearing
her ^pp$+pp3+++=her
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
plain ^nn++++=plain
brown ^jj+atrb+++=brown
coat ^nn++++=coat
with ^in++++=with
a ^at++++=a
collar ^nn++++=collar
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
up ^rb+phrv+++=up
pretending ^vbg+++xvbg+=pretending
to ^to+vcmp+++=to
be ^vbi++vrb++=be
fur ^nn++++=fur.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
red ^jj+atrb+++=red
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
tucked ^vpsv++agls+xvbnx+=tucked
beneath ^in+pl+++=beneath
a ^at++++=a
black ^jj+atrb+++=black
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
tired ^jj+++xvbn+=tired.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
" ^zz++++="Birdie."
birdie ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
ye ^pp2+pp2+++=ye're
're ^vb+ber+vrb++0=EXTRAWORD
after ^in++++=after
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
hash ^nn+++??+=hash."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
