# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
the ^ati++++=the
only ^ap+down+++=only
truth ^nn++++=truth
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed.
. ^zz++++=EXTRAWORD
" ^zz++++="Good-bye,"
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bye ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Good-bye,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bye ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='Polyte."
polyte ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
climbed ^vbd+++xvbnx+=climbed
into ^in++++=into
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
F ^zz++++=F
lix ^nn+++??+=lix
cracked ^vbd+++xvbn+=cracked
the ^ati++++=the
reins ^nns++++=reins.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wheels ^nns++++=wheels
groaned ^vbd+++xvbn+=groaned,
, ^zz++++=EXTRAWORD
settled ^j+++xvbn+=settled
into ^in++++=into
the ^ati++++=the
ruts ^nns++++=ruts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
turn ^vbi++++=turn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pig ^nn++++=pig
squealed ^vbd+++xvbn+=squealed
from ^in++++=from
a ^at++++=a
crate ^nn++++=crate
at ^in++++=at
the ^ati++++=the
rear ^nn++++=rear.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
chairs ^nns++++=chairs
dragged ^vbd+++xvbn+=dragged
until ^cs+sub+++=until
a ^at++++=a
boy ^nn++++=boy
jumped ^vbd+++xvbn+=jumped
down ^rp++++=down
and ^cc++++=and
retied ^vbd+++xvbn+=retied
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wagon ^nn++++=wagon
passed ^vbd+++xvbn+=passed
the ^ati++++=the
cotton ^np++++=cotton
shed ^vbd+++xvbn+=shed,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
whitewashed ^jj+atrb++xvbn+=whitewashed
gateposts ^nns+++??+=gateposts.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie
sat ^vbd+++xvbn+=sat
facing ^vbg+++xvbg+=facing
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
or ^cc++++=or
merely ^rb+down+++=merely
at ^in++++=at
the ^ati++++=the
plantation ^nn+nom+++=plantation,
, ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
curved ^jj++++=curved
beyond ^in++++=beyond
the ^ati++++=the
pecan ^jj+atrb+++=pecan
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wagon ^nn++++=wagon
vanished ^vbd+++xvbn+=vanished
in ^in++++=in
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
afternoon ^nn++++=afternoon
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
three ^cd++++=three
figures ^nns++++=figures
in ^in++++=in
the ^ati++++=the
wrong ^jj+atrb+++=wrong
columns ^nns++++=columns.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
he ^pp3a+pp3+++=he
neglected ^vbd+++xvbnx+=neglected
to ^in++++=to
lock ^nn++++=lock
the ^ati++++=the
meat ^nn++++=meat
room ^nn++++=room.
. ^zz++++=EXTRAWORD
On ^in++++=On
Monday ^nr++++=Monday
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
found ^vbd+vprv+tht0+xvbn+=found
him ^pp3o+pp3+++=him
sitting ^vbg+++xvbg+=sitting
at ^rb++++=at
the ^ati++++=the
desk ^nn++++=desk
with ^in++++=with
the ^ati++++=the
account ^nn++++=account
book ^nn++++=book
unopened ^vbd+++xvbn+=unopened.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
ill ^jj+pred+++=ill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
perhaps ^rb++++=perhaps
the ^ati++++=the
figures ^nns++++=figures
have ^vb+hv+aux++=have
offended ^vprf+++xvbnx+=offended
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
walked ^vbd+++xvbn+=walked
to ^in++++=to
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yard ^npl++++=yard
appeared ^vbd+seem++xvbn+=appeared
strangely ^rb++++=strangely
broad ^jj++++=broad.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
the ^ati++++=the
family ^nn++++=family's
's ^$++++=EXTRAWORD
broken ^vpsv++agls+xvbnx+=broken
wagon ^nn++++=wagon,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
wandering ^jj+atrb++xvbg+=wandering
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Az ^np+++??+=Az
lie ^nn++++=lie's
's ^vbz+bez+vrb++0=EXTRAWORD
blue ^jj+atrb+++=blue
dress ^nn++++=dress
crossing ^vwbg+++xvbg+=crossing
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
the ^ati++++=the
plantation ^nn+nom+++=plantation
had ^vbd+hvd+aux++=had
assumed ^vprf+++xvbnx+=assumed
an ^at++++=an
order ^to++++=order
he ^pp3a+pp3+++=he
once ^cs+tm+++=once
believed ^vprf++tht0+xvbn+=believed
he ^pp3a+pp3+++=he
valued ^vbd+++xvbnx+=valued.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
work ^nn++++=work
yere ^nn+++??+=yere
no ^at++++=no
mo ^np++++=mo',"
'," ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
regarded ^vwbn+++xvbn+=regarded
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
town ^nn++++=town?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where,
where ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
took ^vbd+++xvbn+=took
the ^ati++++=the
store ^nn++++=store
key ^jjb++++=key
from ^in++++=from
his ^pp$+pp3+++=his
ring ^nn++++=ring
and ^cc++++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
upon ^in++++=upon
the ^ati++++=the
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
Beside ^in+pl+++=Beside
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
placed ^vbd+++xvbnx+=placed
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
key ^jjb++++=key
Az ^np+++??+=Az
lie ^vb++++=lie
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
on ^in++++=on
the ^ati++++=the
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
" ^zz++++="Li'le
li ^nn+++??+=EXTRAWORD
'le ^nn+++??+=EXTRAWORD
River ^nn++++=River,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
lifted ^vbd+++xvbn+=lifted
his ^pp$+pp3+++=his
eyebrows ^nns++++=eyebrows,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^jj+++??+=EXTRAWORD
packed ^jj+++xvbn+=packed
that ^dt+dem+++=that
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
dawn ^nn++++=dawn
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
yard ^nn++++=yard
carrying ^vwbg+++xvbg+=carrying
one ^cd1++++=one
valise ^nn++++=valise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shutters ^nns+nom+++=shutters
of ^in++++=of
the ^ati++++=the
big ^jj+atrb+++=big
house ^nn++++=house
were ^vbd+bed+aux++=were
closed ^vpsv++agls+xvbnx+=closed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
store ^nn++++=store
stood ^vbd+++xvbn+=stood
dark ^jj++++=dark
beneath ^in+pl+++=beneath
the ^ati++++=the
live ^vb++++=live
oaks ^nns++++=oaks.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
the ^ati++++=the
keys ^nns++++=keys
remained ^vbd+++xvbn+=remained
on ^in++++=on
the ^ati++++=the
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
first ^rb++++=first
light ^jj++++=light
would ^md+prd+++=would
presently ^rb+tm+splt++=presently
find ^vb+vprv+++=find
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
river ^nn++++=river
road ^npl++++=road
north ^nr+pl+++=north,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
uneven ^jj+atrb+++=uneven
marks ^nns++++=marks
of ^in++++=of
a ^at++++=a
ramshackle ^jj+atrb+++=ramshackle
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
