**what ^nn+++??+=**What
trolleys ^nns+++??+=trolleys
piled ^vbd+++xvbn+=piled
with ^in++++=with
taped ^jj+atrb+++=taped
cartons ^nns++++=cartons,
, ^zz++++=EXTRAWORD
rice ^np++++=rice
cookers ^nns+nom+++=cookers,
, ^zz++++=EXTRAWORD
televisions ^nns+++??+=televisions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bulging ^jj+atrb++xvbg+=bulging
suitcases ^nns++++=suitcases.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
argued ^vwbn+vpub++xvbn+=argued
about ^in++++=about
excess ^nn++++=excess
baggage ^nn+nom+++=baggage
while ^cs+sub+++=while
her ^pp3o+pp3+++=her
child ^nn++++=child
slept ^vbd+++xvbn+=slept
across ^in+pl+++=across
two ^cd++++=two
plastic ^nn++++=plastic
chairs ^nns++++=chairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smell ^nn++++=smell
of ^in++++=of
coffee ^nn++++=coffee
drifted ^vbd+++xvbn+=drifted
from ^in++++=from
a ^at++++=a
kiosk ^nn++++=kiosk.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
held ^vbd+vprv++xvbn+=held
your ^pp$+pp2+++=your
hand ^nn++++=hand
beneath ^in+pl+++=beneath
the ^ati++++=the
departures ^nns++++=departures
screen ^nn++++=screen.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
come ^vb++++=come
back ^jjb++++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
cities ^nns++++=cities
flickering ^jj++++=flickering
above ^rb++++=above
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
corrected ^vbd+++xvbnx+=corrected
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
back ^jjb++++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
yes ^uh++++=yes
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
your ^pp$+pp2+++=your
name ^nn++++=name
properly ^rb++++=properly
and ^cc++++=and
worn ^jj+++xvbn+=worn
the ^ati++++=the
shirt ^nn++++=shirt
you ^pp2+pp2+++=you
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
until ^cs+sub+++=until
it ^pp3+it+++=it
faded ^vbd+++xvbn+=faded.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
no ^at++++=no
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
cross ^vb++++=cross
oceans ^nns++++=oceans
for ^in++++=for
curiosity ^nn+nom+++=curiosity
while ^cs+sub+++=while
you ^pp2+pp2+++=you
crossed ^vbd+++xvbn+=crossed
them ^pp3o+pp3+++=them
carrying ^jj+atrb++xvbg+=carrying
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
shame ^vb++++=shame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
news ^nn++++=news
of ^in++++=of
a ^at++++=a
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
the ^ati++++=the
cord ^nn++++=cord
had ^vbd+hvd+aux++=had
loosened ^vprf+++xvbnx+=loosened
with ^in++++=with
him ^pp3o+pp3+++=him
but ^cc++++=but
had ^vb+hv+aux++=had
never ^rb++splt++=never
vanished ^vprf+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
belong ^vb++++=belong
to ^in++++=to
America ^np++++=America.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
long ^rb++++=long
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
car ^nn++++=car
while ^cs+sub+++=while
mud ^nn++++=mud
dried ^vbd+++xvbn+=dried
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
in ^in++++=in
the ^ati++++=the
airport ^npl++++=airport
at ^rb++++=at
Lagos ^np+++??+=Lagos
when ^wrb+who+++=when
everyone ^pn++++=everyone's
's ^vbz+bez+vrb++0=EXTRAWORD
hopes ^nns++++=hopes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
packed ^vpsv++agls+xvbnx+=packed
into ^in++++=into
your ^pp$+pp2+++=your
suitcase ^nn++++=suitcase
without ^in++++=without
being ^nn+nn+aux++=being
weighed ^vbd+++xvbn+=weighed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
nodded ^vbd+++xvbnx+=nodded
as ^cs+sub+++=as
if ^cs+cnd+++=if
silence ^nn+nom+++=silence
were ^vbd+bed+vrb++=were
an ^at++++=an
answer ^nn++++=answer
he ^pp3a+pp3+++=he
could ^md+pos+++=could
respect ^vb++++=respect.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
your ^pp$+pp2+++=your
flight ^nn++++=flight
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
wrapped ^vbd+++xvbn+=wrapped
your ^pp$+pp2+++=your
arms ^nns++++=arms
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
you ^pp2+pp2+++=you
carefully ^rb++++=carefully
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
tightly ^rb++++=tightly.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
felt ^vbd+vprv++xvbn+=felt
his ^pp$+pp3+++=his
heart ^nn++++=heart
striking ^vwbg+++xvbg+=striking
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
cheek ^nn++++=cheek
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
small ^jj+atrb+++=small
worn ^jj+atrb++xvbn+=worn
place ^nn++++=place
near ^in+pl+++=near
his ^pp$+pp3+++=his
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
one ^cd1++++=one
moment ^nn++++=moment
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted
the ^ati++++=the
loudspeaker ^nn+nom+++=loudspeaker
to ^to++++=to
break ^vbi++++=break,
, ^zz++++=EXTRAWORD
the ^ati++++=the
plane ^nn++++=plane
to ^to++++=to
leave ^vbi++++=leave
without ^in++++=without
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father
to ^to++++=to
be ^vbi++vrb++=be
alive ^jj+pred+++=alive
and ^cc+phrs+++=and
annoyed ^jj++++=annoyed
that ^tht+jcmp+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
wasted ^vprf+++xvbnx+=wasted
money ^nn++++=money
on ^in++++=on
such ^abl++++=such
an ^at++++=an
expensive ^jj+atrb+++=expensive
ticket ^nn++++=ticket.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
drew ^vbd+++xvbn+=drew
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
touched ^vbd+++xvbn+=touched
the ^ati++++=the
blue ^jj+atrb+++=blue
pendant ^nn+nom+++=pendant
at ^rb++++=at
your ^pp$+pp2+++=your
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vbd+hvd+aux++=had
forgotten ^vprf++tht0+xvbnx+=forgotten
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
wearing ^vbg+++xvbgx+=wearing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
almost ^rb+hdg+++=almost
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vb+hv+aux++=had
not ^xnot++not++=not
planned ^vbd+++xvbn+=planned
to ^to+vcmp+++=to
return ^vbi++++=return
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
your ^pp$+pp2+++=your
bag ^nn++++=bag
onto ^in++++=onto
your ^pp$+pp2+++=your
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
checkpoint ^nn++++=checkpoint,
, ^zz++++=EXTRAWORD
an ^at++++=an
officer ^npt++++=officer
waited ^vbd+++xvbn+=waited
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
open ^nn++++=open
for ^in++++=for
your ^pp$+pp2+++=your
passport ^nn++++=passport.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
walked ^vbd+++xvbn+=walked
away ^rp+pl+++=away
without ^in++++=without
turning ^xvbg+++xvbg+=turning.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
before ^in++++=before
the ^ati++++=the
line ^nn++++=line
curved ^jj++++=curved
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
looked ^vbd+++xvbn+=looked
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
stood ^vbd+++xvbn+=stood
where ^wrb+who+++=where
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
one ^cd1++++=one
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
raised ^vbd+++xvbn+=raised
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pressure ^nn++++=pressure
at ^in++++=at
your ^pp$+pp2+++=your
throat ^nn++++=throat
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
shifted ^vbd+++xvbn+=shifted
as ^ql++++=as
you ^pp2+pp2+++=you
moved ^vbd+++xvbn+=moved,
, ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
hand ^nn++++=hand
closing ^vwbg+++xvbg+=closing,
, ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
cord ^nn++++=cord
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
somebody ^pn++++=somebody
you ^pp2+pp2+++=you
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
felt ^vbd+vprv++xvbn+=felt
now ^rn+tm+++=now
like ^in++++=like
the ^ati++++=the
ache ^nn++++=ache
left ^vbd+++xvbn+=left
after ^in++++=after
carrying ^xvbg+++xvbg+=carrying
a ^at++++=a
heavy ^jj+atrb+++=heavy
basin ^nn++++=basin
home ^nr++++=home:
: ^zz++++=EXTRAWORD
proof ^nn++++=proof
of ^in++++=of
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
proof ^nn++++=proof
also ^rb++++=also
that ^cs+sub+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
line ^nn++++=line
advanced ^vbd+++xvbn+=advanced.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
lowered ^vbd+++xvbn+=lowered
your ^pp$+pp2+++=your
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
the ^ati++++=the
officer ^nn++++=officer
your ^pp$+pp2+++=your
passport ^nn++++=passport,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb++++=let
him ^pp3o+pp3+++=him
wave ^nn++++=wave
you ^pp2+pp2+++=you
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
