*[sam ^nn+++??+=*[Sam
laid ^vpsv++agls+xvbnx+=laid
straight ^jj++++=straight.
. ^zz++++=EXTRAWORD
" ^zz++++="'Have
' ^zz++++=EXTRAWORD
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
remembered ^vbd+vprv++xvbn+=remembered
mustard ^nn++++=mustard
for ^in++++=for
the ^ati++++=the
boiled ^jj+++xvbn+=boiled
ham ^np++++=ham?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
asks ^vbz++++=asks
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
" ^zz++++="'Made
' ^zz++++=EXTRAWORD
made ^vwbn+++xvbn+=EXTRAWORD
yesterday ^nr+tm+++=yesterday,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'Extra
' ^zz++++=EXTRAWORD
extra ^jj+atrb+++=EXTRAWORD
lamp ^nn++++=lamp-wicks?'
- ^zz++++=EXTRAWORD
wicks ^vbz+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'In
' ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
the ^ati++++=the
blue ^jj+atrb+++=blue
drawer ^nn++++=drawer.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Warm
' ^zz++++=EXTRAWORD
warm ^jj+atrb+++=EXTRAWORD
bricks ^nns++++=bricks
for ^in++++=for
the ^ati++++=the
beds ^nns++++=beds?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'There's
' ^zz++++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
eight ^cd++++=eight
by ^in++++=by
the ^ati++++=the
hearth ^nn++++=hearth.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Feed
' ^zz++++=EXTRAWORD
feed ^nn++++=EXTRAWORD
for ^in++++=for
visiting ^xvbg+++xvbg+=visiting
horses ^nns++++=horses?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Enoch's
' ^zz++++=EXTRAWORD
enoch ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
put ^vbd+++xvbn+=put
four ^cd++++=four
bushels ^nns+++??+=bushels
of ^in++++=of
oats ^nns++++=oats
in ^in++++=in
the ^ati++++=the
granary ^nn+nom+++=granary.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
place ^nn++++=place
for ^in++++=for
wet ^jj+atrb+++=wet
wraps ^nns+++??+=wraps
if ^cs+cnd+++=if
it ^pp3+it+++=it
rains ^nns++++=rains?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
triumph ^nn++++=triumph.
. ^zz++++=EXTRAWORD
" ^zz++++="'Hooks
' ^zz++++=EXTRAWORD
hooks ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
entry ^nn++++=entry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
two ^cd++++=two
clothes ^nns++++=clothes-horses
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
ready ^jj++++=ready,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
opened ^vbd+++xvbn+=opened
the ^ati++++=the
cellar ^nn++++=cellar
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+++=suppose,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
cellar ^nn++++=cellar
may ^md+pos+++=may
not ^xnot++not++=not
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
attention ^nn+nom+++=attention.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
The ^ati++++=The
potatoes ^nns++++=potatoes
was ^vbd+bedz+aux++=was
sorted ^vpsv++agls+xvbnx+=sorted,
, ^zz++++=EXTRAWORD
apples ^nns++++=apples
barreled ^vbd+++xvbn+=barreled,
, ^zz++++=EXTRAWORD
preserves ^vbz++++=preserves
labeled ^vbd+++xvbn+=labeled,
, ^zz++++=EXTRAWORD
crocks ^nns++++=crocks
covered ^vbd+++xvbn+=covered,
, ^zz++++=EXTRAWORD
floor ^nn++++=floor
swept ^vwbn+++xvbn+=swept,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
very ^ql+amp+++=very
cobwebs ^nns++++=cobwebs
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
warned ^vpsv++agls+xvbnx+=warned
off ^rb+phrv+++=off
the ^ati++++=the
premises ^nns++++=premises.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
women ^nns++++=women
came ^vbd+++xvbn+=came
upstairs ^jjb++++=upstairs
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
pretty ^rb++++=pretty
dry ^jj++++=dry
in ^in++++=in
their ^pp$+pp3+++=their
minds ^nns++++=minds
after ^in++++=after
so ^ql++++=so
much ^ap++++=much
huntin ^nn+++??+=huntin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
no ^at++++=no
game ^nn++++=game.
. ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
creditably ^jj++++=creditably,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
awardin ^nn+++??+=awardin'
' ^zz++++=EXTRAWORD
a ^at++++=a
prize ^nn++++=prize
to ^in++++=to
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="'Thank
' ^zz++++=EXTRAWORD
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'Of
' ^zz++++=EXTRAWORD
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
goes ^vbz++++=goes
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
' ^zz++++='we
we ^pp1a+pp1+++=EXTRAWORD
trust ^vb+vprv+tht0++=trust
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
not ^xnot++not++=not
neglected ^vbd+++xvbn+=neglected
the ^ati++++=the
higher ^jjr+atrb+++=higher
duties ^nns++++=duties
in ^in++++=in
this ^dt+dem+++=this
absorption ^nn+nom+++=absorption
with ^in++++=with
material ^nn++++=material
things ^nns++++=things.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
not ^xnot++not++=not,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'Young
' ^zz++++=EXTRAWORD
young ^jj+atrb+++=EXTRAWORD
women ^nns++++=women,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia,
, ^zz++++=EXTRAWORD
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
sometimes ^rb++++=sometimes
so ^rb+emph+++=so
anxious ^jj++++=anxious
to ^to+jcmp+++=to
make ^vbi++++=make
themselves ^ppls+pp3+++=themselves
indispensable ^jj++++=indispensable
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
forget ^vb+vprv+++=forget
humility ^nn+nom+++=humility.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Huldy's
huldy ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
color ^nn++++=color
rose ^vbd+++xvbn+=rose
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
" ^zz++++="'Would
' ^zz++++=EXTRAWORD
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^in++++=like
another ^dt++++=another
piece ^nn++++=piece
of ^in++++=of
cake ^nn++++=cake?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
all ^rb++++=all
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
association ^nn+nom+++=association
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
went ^vbd+++xvbn+=went
smooth ^jj++++=smooth
as ^ql++++=as
cream ^nn++++=cream.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
persons ^nns++++=persons
sat ^vbd+++xvbn+=sat
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
waited ^vbd+++xvbn+=waited,
, ^zz++++=EXTRAWORD
nobody ^pn++++=nobody
lacked ^vbd+++xvbn+=lacked,
, ^zz++++=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
burned ^vbd+++xvbn+=burned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
coffee ^nn++++=coffee
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
moved ^vbd+++xvbn+=moved
among ^in++++=among
them ^pp3o+pp3+++0='em
in ^in++++=in
a ^at++++=a
brown ^jj+atrb+++=brown
dress ^nn++++=dress
with ^in++++=with
a ^at++++=a
white ^jj+atrb+++=white
kerchief ^nn+++??+=kerchief
crossed ^vbd+++xvbn+=crossed
over ^in++++=over
her ^pp$+pp3+++=her
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
fresh ^jj++++=fresh
and ^cc+phrs+++=and
quiet ^jj++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
visiting ^jj+++xvbg+=visiting
ministers ^nns+nom+++=ministers
praised ^vbd+++xvbn+=praised
the ^ati++++=the
dinner ^nn++++=dinner
till ^cs+sub+++=till
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl
felt ^vbd+vprv++xvbn+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
prepared ^vprf+++xvbnx+=prepared
it ^pp3+it+++=it
through ^in++++=through
some ^dti++++=some
extension ^nn++++=extension
of ^in++++=of
pastoral ^jj+atrb+++=pastoral
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
old ^jj+atrb+++=old
minister ^nn+nom+++=minister
from ^in++++=from
North ^np+pl+++=North
Beulah ^np+++??+=Beulah
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Brother
brother ^nn++++=EXTRAWORD
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
favored ^vpsv++agls+xvbnx+=favored
in ^in++++=in
your ^pp$+pp2+++=your
household ^nn++++=household.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
indeed ^rb+cnj+++=indeed,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
followed ^vbd+vprv++xvbn+=followed
Huldy ^np+++??+=Huldy
as ^ql++++=as
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
through ^in++++=through
the ^ati++++=the
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
" ^zz++++="Mis'
mis ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
saw ^vbd+vprv+tht0+xvbn+=saw
that ^tht+vcmp+++=that
look ^vb++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
jealousy ^nn++++=jealousy,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
burr ^nn++++=burr
in ^in++++=in
a ^at++++=a
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
tail ^nn++++=tail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
more ^ql++++=more
it ^pp3+it+++=it
gets ^vbz++++=gets
switched ^vbd+++xvbn+=switched,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tighter ^jjr++++=tighter
it ^pp3+it+++=it
twists ^vbz++++=twists.
. ^zz++++=EXTRAWORD
The ^ati++++=The
women ^nns++++=women
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
fault ^nn++++=fault
Huldy ^np++++=Huldy's
's ^$++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
begun ^vbd+++xvbnx+=begun
to ^to++++=to
fault ^vbi++++=fault
her ^pp$+pp3+++=her
motives ^nns++++=motives.
. ^zz++++=EXTRAWORD
" ^zz++++="First
first ^od++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
said ^vpsv++tht0+xvbnx+=said
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
arranged ^vprf+++xvbnx+=arranged
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
books ^nns++++=books
more ^rbr++++=more
often ^rb++++=often
than ^in++++=than
necessary ^nn++++=necessary.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
somebody ^pn++++=somebody
noticed ^vbd+vprv+tht0+xvbn+=noticed
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
flowers ^nns+nom+++=flowers
on ^in++++=on
his ^pp$+pp3+++=his
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia
declared ^vbd+vpub+tht0+xvbn+=declared
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
Huldy ^np+++??+=Huldy
singin ^nn+++??+=singin'
' ^zz++++=EXTRAWORD
' ^zz++++='Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
Fount ^np+++??+=Fount'
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
too ^rb++++=too
expressive ^jj++++=expressive
for ^in++++=for
a ^at++++=a
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
parson ^nn++++=parson
took ^vbd+++xvbn+=took
two ^cd++++=two
cups ^nns++++=cups
of ^in++++=of
tea ^nn++++=tea
when ^wrb+who+++=when
Huldy ^np+++??+=Huldy
poured ^vbd+++xvbn+=poured
it ^pp3+it+++=it
and ^cc++++=and
only ^rb+down+++=only
one ^cd1++++=one
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
story ^nn++++=story
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
from ^in++++=from
the ^ati++++=the
sewing ^nn++++=sewing
circle ^nn++++=circle
to ^in++++=to
the ^ati++++=the
Thursday ^nr++++=Thursday
lecture ^nn++++=lecture,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
snares ^nns++++=snares
for ^in++++=for
the ^ati++++=the
parson ^nn++++=parson
with ^in++++=with
every ^at++++=every
doughnut ^nn+++??+=doughnut.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
against ^in++++=against
the ^ati++++=the
girl ^nn++++=girl,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
sincerely ^rb++++=sincerely
hope ^vb++++=hope
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
mistaken ^vpsv++agls+xvbnx+=mistaken.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
age ^nn++++=age!
! ^zz++++=EXTRAWORD
The ^ati++++=The
sacredness ^nns+nom+++=sacredness
of ^in++++=of
his ^pp$+pp3+++=his
office ^nn++++=office!
! ^zz++++=EXTRAWORD
The ^ati++++=The
opportunities ^nns+nom+++=opportunities
of ^in++++=of
a ^at++++=a
person ^nn++++=person
under ^in++++=under
his ^pp$+pp3+++=his
roof ^nn++++=roof!
! ^zz++++=EXTRAWORD
Dear ^jj++++=Dear
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
trembles ^nns+++??+=trembles.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
trembled ^vbd+++xvbnx+=trembled
all ^abn++++=all
over ^in++++=over
town ^nn++++=town,
, ^zz++++=EXTRAWORD
tellin ^nn+++??+=tellin'
' ^zz++++=EXTRAWORD
everybody ^pn++++=everybody
why ^wrb+who+++=why.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
hear ^vb+vprv+++=hear
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
Busy ^jj+atrb+++=Busy
folks ^nns++++=folks
are ^vb+ber+vrb++=are
commonly ^rb++++=commonly
the ^ati++++=the
last ^ap++++=last
to ^to++++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
idle ^jj+atrb+++=idle
folks ^nns++++=folks
say ^vb+vpub+++=say
about ^in++++=about
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
one ^cd1++++=one
afternoon ^nn++++=afternoon
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^to++++=to
carry ^vbi++++=carry
broth ^nn++++=broth
to ^in++++=to
old ^jj+atrb+++=old
Aunt ^nn++++=Aunt
Nabby ^np+++??+=Nabby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
past ^jjb++++=past
the ^ati++++=the
vestry ^nn++++=vestry,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
voices ^nns++++=voices
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="'Of
' ^zz++++=EXTRAWORD
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
she ^pp3a+pp3+++=she
means ^nns++++=means
to ^to++++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Miss ^npt++++=Miss
Asphyxia ^np++++=Asphyxia.
. ^zz++++=EXTRAWORD
" ^zz++++="'If
' ^zz++++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
she ^pp3a+pp3+++=she
can ^md+pos+++=can,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett.
. ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
young ^jj+atrb+++=young
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
proper ^jj+atrb+++=proper
delicacy ^nn+nom+++=delicacy
would ^md+prd+++=would
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
months ^nns++++=months
ago ^rb+cnj+++=ago,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge.
. ^zz++++=EXTRAWORD
' ^zz++++='Remaining
remaining ^vbg+++xvbg+=EXTRAWORD
under ^in++++=under
such ^abl++++=such
circumstances ^nns+nom+++=circumstances
speaks ^vbz++++=speaks
for ^in++++=for
itself ^ppl++++=itself.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
The ^ati++++=The
covered ^jj+atrb++xvbn+=covered
bowl ^nn++++=bowl
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm
in ^in++++=in
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
cold ^jj++++=cold
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
on ^in++++=on
and ^cc++++=and
carried ^vbd+++xvbn+=carried
the ^ati++++=the
broth ^nn++++=broth
to ^in++++=to
Aunt ^nn++++=Aunt
Nabby ^np+++??+=Nabby,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
the ^ati++++=the
room ^nn++++=room
to ^in++++=to
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
lady ^nn++++=lady
complain ^vb+vpub+++=complain
about ^rb++++=about
her ^pp3o+pp3+++=her
rheumatism ^nn+nom+++=rheumatism
for ^in++++=for
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
made ^vprf+++xvbn+=made
another ^dt++++=another
person ^nn++++=person
pay ^nn++++=pay
for ^in++++=for
the ^ati++++=the
hurt ^vbd+++xvbn+=hurt
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
received ^vprf+++xvbnx+=received.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cs+sub+++=EXTRAWORD
that ^cs"++++=that
night ^nn++++=night
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
sing ^vb++++=sing.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
noticed ^vbd+vprv++xvbn+=noticed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
sermon ^nn++++=sermon
on ^in++++=on
rejoicing ^xvbg+++xvbg+=rejoicing
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somehow ^rb++++=somehow
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
rejoice ^vb++++=rejoice.
. ^zz++++=EXTRAWORD
" ^zz++++="Next
next ^ap++++=EXTRAWORD
day ^nn++++=day
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
quiet ^nn++++=quiet
still ^rb++++=still.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
about ^in+ppvb+++=about
with ^in++++=with
a ^at++++=a
steady ^jj+atrb+++=steady
face ^nn++++=face,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
house ^npl++++=house
seemed ^vbd+seem++xvbn+=seemed
different ^jj++++=different.
. ^zz++++=EXTRAWORD
A ^at++++=A
